Annexure II- CNX Nifty Jr. Index : May 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May. 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May. 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,13167,3.16,1.41,0.19,3.71,14.61,0.1
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,11773,2.83,0.87,0.13,3.75,20.88,0.12
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1300849720,7065,1.7,1.12,0.35,2.47,17.71,0.12
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6921,1.66,0.42,0.06,1.76,1.49,0.09
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,5090,1.22,0.58,0.15,1.96,2.39,0.18
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,7082,1.7,0.28,0.04,2.68,9.95,0.19
7,BANKINDIA,Bank of India,BANKS,6422630130,6615,1.59,2.08,0.39,3.89,32.07,0.1
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,6219,1.49,0.74,0.13,2.11,23.01,0.11
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18893011130,7969,1.91,0.5,0.08,2.18,7.35,0.11
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,11181,2.68,0.25,0.04,2.28,17.25,0.13
11,CANBK,Canara Bank,BANKS,4612588370,5931,1.42,1.93,0.4,5.12,45.2,0.1
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,9241,2.22,0.47,0.13,1.41,-3.34,0.09
