Annexure II- CNX Nifty Jr. Index : November 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301193130,9738,1.88,1.20,0.26,1.74,6.68,0.07
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,12619,2.44,1.71,0.20,1.71,-5.22,0.09
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,15021,2.90,1.81,0.30,1.55,1.61,0.09
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,8890,1.72,0.65,0.08,2.30,4.54,0.08
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291464721,14593,2.82,0.21,0.00,1.86,12.64,0.06
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,6868,1.33,0.67,0.10,1.54,7.70,0.12
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8775,1.70,0.41,0.04,2.38,3.12,0.11
8,BANKINDIA,Bank of India,BANKS,6422630130,6177,1.19,2.28,0.40,2.19,1.21,0.07
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,11964,2.31,0.91,0.11,2.14,18.69,0.09
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,17121,3.31,0.44,0.04,2.39,26.97,0.08
11,CANBK,Canara Bank,BANKS,4612588370,5896,1.14,2.29,0.39,2.59,2.50,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,12402,2.40,0.30,0.03,2.23,10.10,0.07
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,10035,1.94,0.93,0.14,2.75,-0.33,0.12
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6850,1.32,1.93,0.25,2.80,1.14,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,11706,2.26,0.93,0.14,2.61,17.85,0.09
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1756361314,13473,2.60,0.27,0.02,1.52,6.36,0.07
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,10989,2.12,0.36,0.03,1.53,-7.88,0.07
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7622,1.47,1.04,0.17,1.74,5.36,0.07
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712792640,13000,2.51,1.78,0.36,1.75,6.86,0.09
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,6213,1.20,-0.01,0.00,1.06,7.86,0.11
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271280353,11492,2.22,0.03,0.00,2.29,14.14,0.08
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340442967,11925,2.31,0.76,0.07,1.38,-1.59,0.10
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6557,1.27,0.51,0.07,1.73,2.33,0.11
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,9876,1.91,1.76,0.28,3.01,12.47,0.07
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35968625810,17758,3.43,1.06,0.14,1.77,-2.49,0.07
26,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18904395960,12914,2.50,0.35,0.02,1.73,1.94,0.07
27,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1903954710,8925,1.73,0.76,0.12,3.23,26.93,0.09
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,13263,2.56,1.46,0.28,1.61,-4.90,0.07
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,12724,2.46,1.57,0.38,1.77,16.67,0.06
30,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,8463,1.64,0.99,0.12,2.75,5.65,0.08
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,881919360,12991,2.51,0.53,0.03,1.62,1.82,0.06
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,422867495,7199,1.39,0.43,0.05,1.07,-1.12,0.06
33,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,8349,1.61,1.10,0.25,1.62,-6.87,0.06
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5918,1.14,0.76,0.09,1.50,-1.10,0.08
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,11121,2.15,2.29,0.32,2.34,9.69,0.09
36,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12011565390,10326,2.00,1.60,0.26,3.35,-3.01,0.09
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,11444,2.21,2.07,0.33,2.63,11.69,0.09
38,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5920,1.14,1.98,0.35,2.77,10.62,0.07
39,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,8252,1.60,2.10,0.38,2.17,-4.33,0.07
40,RPOWER,Reliance Power Ltd.,POWER,28051264660,4751,0.92,1.84,0.40,2.32,-11.33,0.09
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,7358,1.42,1.48,0.22,2.85,7.16,0.08
42,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,8072,1.56,1.77,0.39,1.70,3.84,0.08
43,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,18119,3.50,1.46,0.24,1.84,13.63,0.11
44,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,7679,1.48,1.09,0.23,1.27,7.45,0.08
45,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6473,1.25,1.06,0.24,1.53,0.75,0.07
46,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,15456,2.99,0.69,0.08,1.35,-5.76,0.08
