Annexure II- CNX Nifty Jr. Index : October 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301193130,9125,1.86,1.18,0.29,1.74,3.83,0.07
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,13315,2.71,1.60,0.18,1.75,2.88,0.07
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,14783,3.01,1.72,0.29,2.75,2.92,0.08
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,8505,1.73,0.59,0.08,2.01,-0.47,0.08
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291457021,12888,2.62,0.15,0.00,2.10,0.02,0.05
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,6377,1.30,0.66,0.11,2.16,-5.43,0.13
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8509,1.73,0.37,0.04,1.56,-0.43,0.15
8,BANKINDIA,Bank of India,BANKS,6422630130,6104,1.24,2.26,0.40,2.05,23.00,0.08
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,10080,2.05,0.95,0.14,2.19,-1.24,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,13484,2.74,0.39,0.05,0.88,-0.76,0.10
11,CANBK,Canara Bank,BANKS,4612588370,5752,1.17,2.20,0.39,1.72,14.63,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,11264,2.29,0.32,0.04,0.63,-2.99,0.05
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,10069,2.05,0.94,0.18,1.82,-0.15,0.13
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6773,1.38,1.86,0.26,2.93,-6.27,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,9933,2.02,0.89,0.16,1.77,8.98,0.09
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1756361314,12666,2.58,0.34,0.04,1.65,1.96,0.07
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,11929,2.43,0.29,0.02,1.74,4.17,0.07
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7235,1.47,0.96,0.17,2.09,-7.08,0.07
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712706440,12164,2.48,1.68,0.36,2.99,12.87,0.09
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5760,1.17,0.03,0.00,1.27,-3.78,0.11
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271268853,10073,2.05,0.23,0.01,1.37,-0.52,0.06
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340442967,12117,2.47,0.71,0.07,2.47,-1.90,0.11
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6407,1.30,0.55,0.10,1.50,-1.87,0.10
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,8781,1.79,1.68,0.29,2.34,10.01,0.07
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35965534970,17065,3.47,1.00,0.14,2.82,-2.02,0.07
26,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18902821110,10159,2.07,0.39,0.02,1.77,-0.10,0.07
27,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1902921610,7012,1.43,0.70,0.16,1.36,8.51,0.13
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,14182,2.89,1.33,0.27,2.54,9.23,0.07
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,10906,2.22,1.57,0.41,2.45,11.23,0.06
30,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,8005,1.63,0.86,0.10,1.19,7.36,0.07
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,881919360,12759,2.60,0.51,0.03,2.34,6.27,0.06
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,422863595,7174,1.46,0.39,0.04,1.47,-1.63,0.06
