Sr. No,Security Symbol,Security Name,Industry,Equity,Free Float Market Capitalisation for Sep 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Sep 2014
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,-,8788,1.86,-,-,-,-,-
2,ADANIENT,Adani Enterprises Ltd.,TRADING,-,12942,2.74,-,-,-,-,-
3,ADANIPORTS,"Adani Ports and Special Economic
Zone Ltd.",SHIPPING,-,14364,3.05,-,-,-,-,-
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,-,8545,1.81,-,-,-,-,-
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,-,12886,2.73,-,-,-,-,-
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,-,6743,1.43,-,-,-,-,-
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,-,8546,1.81,-,-,-,-,-
8,BANKINDIA,Bank of India,BANKS,-,4962,1.05,-,-,-,-,-
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,-,10207,2.16,-,-,-,-,-
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,-,13588,2.88,-,-,-,-,-
11,CANBK,Canara Bank,BANKS,-,5018,1.06,-,-,-,-,-
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,-,11612,2.46,-,-,-,-,-
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,-,10084,2.14,-,-,-,-,-
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,-,7225,1.53,-,-,-,-,-
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,-,9115,1.93,-,-,-,-,-
16,DABUR,Dabur India Ltd.,PERSONAL CARE,-,12422,2.63,-,-,-,-,-
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,-,11451,2.43,-,-,-,-,-
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,-,7785,1.65,-,-,-,-,-
19,FEDERALBNK,Federal Bank Ltd.,BANKS,-,10776,2.29,-,-,-,-,-
20,GLAXO,"Glaxosmithkline Pharmaceuticals
Ltd.",PHARMACEUTICALS,-,5986,1.27,-,-,-,-,-
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,-,10125,2.15,-,-,-,-,-
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,-,12351,2.62,-,-,-,-,-
23,GSKCONS,"GlaxoSmithkline Consumer
Healthcare Ltd.",FOOD AND FOOD PROCESSING,-,6529,1.38,-,-,-,-,-
24,HINDPETRO,"Hindustan Petroleum Corporation
Ltd.",REFINERIES,-,7982,1.69,-,-,-,-,-
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,-,17414,3.69,-,-,-,-,-
26,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,-,10169,2.16,-,-,-,-,-
27,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,-,6455,1.37,-,-,-,-,-
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,-,12983,2.75,-,-,-,-,-
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,-,9805,2.08,-,-,-,-,-
30,M&MFIN,"Mahindra & Mahindra Financial
Services Ltd.",FINANCE,-,7456,1.58,-,-,-,-,-
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,-,12006,2.55,-,-,-,-,-
32,OFSS,"Oracle Financial Services Software
Ltd.",COMPUTERS - SOFTWARE,-,7257,1.54,-,-,-,-,-
33,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,-,8581,1.82,-,-,-,-,-
34,PETRONET,Petronet LNG Ltd.,GAS,-,5640,1.2,-,-,-,-,-
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,-,8424,1.79,-,-,-,-,-
36,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,-,9926,2.1,-,-,-,-,-
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,-,9930,2.11,-,-,-,-,-
38,RECLTD,"Rural Electrification Corporation
Ltd.",FINANCIAL INSTITUTION,-,8481,1.8,-,-,-,-,-
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,-,5130,1.09,-,-,-,-,-
40,RPOWER,Reliance Power Ltd.,POWER,-,4933,1.05,-,-,-,-,-
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,-,5751,1.22,-,-,-,-,-
42,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,-,7364,1.56,-,-,-,-,-
43,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,-,15642,3.32,-,-,-,-,-
44,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,-,7015,1.49,-,-,-,-,-
45,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,-,6395,1.36,-,-,-,-,-
46,TITAN,Titan Company Ltd.,GEMS JEWELLERY AND WATCHES,-,17002,3.61,-,-,-,-,-
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,-,4741,1.01,-,-,-,-,-
48,UNIONBANK,Union Bank of India,BANKS,-,4745,1.01,-,-,-,-,-
49,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,-,10231,2.17,-,-,-,-,-
50,YESBANK,Yes Bank Ltd.,BANKS,-,18048,3.83,-,-,-,-,-
