Annexure II- CNX Nifty Jr. Index : April 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,17594.71,3.32,1.38,0.24,1.68,9.56,0.09
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,8669.95,1.64,0.92,0.13,2.81,-16.95,0.07
3,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291982275,17244.00,3.25,0.71,0.06,3.25,5.24,0.08
4,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,15555.95,2.94,1.08,0.17,2.48,-1.73,0.08
5,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,5610.80,1.06,2.08,0.42,2.27,-4.45,0.08
6,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,13248.67,2.5,0.46,0.06,1.87,-1.3,0.09
7,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6938.55,1.31,1.62,0.26,1.57,1.63,0.08
8,DABUR,Dabur India Ltd.,PERSONAL CARE,1756511990,14090.27,2.66,0.52,0.08,1.68,-5.14,0.08
9,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271072830,15080.80,2.85,0.89,0.12,1.89,-4.5,0.07
10,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7874.92,1.49,1.07,0.19,2.16,-3.49,0.07
11,FEDERALBNK,Federal Bank Ltd.,BANKS,1714464500,11264.03,2.13,1.25,0.24,1.76,-0.49,0.09
12,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,6741.09,1.27,0.23,0.02,1.61,-7.07,0.09
13,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,10349.39,1.95,1.42,0.22,2.23,-3.79,0.08
14,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301371930,8508.83,1.61,1.23,0.32,1.76,-5.76,0.09
15,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,10233.11,1.93,1.32,0.31,1.8,2.83,0.08
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,11709.68,2.21,0.76,0.14,1.21,-2.11,0.09
17,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,12954.00,2.44,1.49,0.34,1.84,-1.73,0.07
18,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,881919360,15298.07,2.89,0.59,0.06,2.24,-2.1,0.08
19,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,20364.76,3.84,0.79,0.12,2.72,-11.48,0.08
20,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2526328000,4679.03,0.88,1.84,0.32,1.62,-4.88,0.08
21,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240390,12115.21,2.29,1.55,0.33,2.32,-2.57,0.1
22,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7261.48,1.37,0.34,0.04,0.99,-0.5,0.09
23,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,7172.51,1.35,1.32,0.22,2.53,3.04,0.09
24,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,7507.08,1.42,1.13,0.29,1.91,-3.74,0.09
25,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5702.69,1.08,1.11,0.29,1.91,-4.5,0.07
26,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,15954.27,3.01,0.91,0.15,1.67,-2.25,0.09
27,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,12221.22,2.31,0.71,0.09,1.89,3.59,0.08
28,BANKINDIA,Bank of India,BANKS,6649085150,4796.33,0.91,1.75,0.33,2.16,10.59,0.08
29,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,16272.10,3.07,1.39,0.25,2.1,-12.97,0.11
30,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271294553,12485.81,2.36,0.36,0.02,2.87,13.25,0.08
