Annexure II- CNX Nifty Jr. Index : August 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301423260,11101.46,1.99,1.25,0.36,2.5,-7.01,0.1
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,32195.75,5.77,1.49,0.38,3.14,9.37,0.07
3,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10218.04,1.83,1,0.21,2.37,-1.45,0.1
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,583964550,20264.21,3.63,1.29,0.25,3.33,-0.91,0.08
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,10957.43,1.96,0.8,0.13,3,-1.95,0.11
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,9543.33,1.71,0.42,0.07,1.49,7.39,0.12
7,BANKINDIA,Bank of India,BANKS,6649085150,3040.53,0.54,1.75,0.4,4.81,-12.79,0.1
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,14479.21,2.59,1.33,0.29,3.45,1.75,0.1
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,17316.87,3.1,0.58,0.09,2.17,-7.09,0.07
10,CANBK,Canara Bank,BANKS,5151969710,4091.95,0.73,1.59,0.35,5.19,3.45,0.09
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,13026.1,2.33,0.46,0.09,1.3,-1.76,0.07
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,10615.43,1.9,0.64,0.08,2.02,-13.2,0.09
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,7031.09,1.26,1.4,0.34,3.46,-6.94,0.1
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,14927.44,2.68,0.82,0.16,4.02,10.1,0.13
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1756820170,15273.35,2.74,0.7,0.17,2.51,-6.9,0.09
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,15036.53,2.69,0.78,0.2,2.99,20.52,0.08
17,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271423830,23272.86,4.17,1.21,0.27,2.64,-0.3,0.07
