Annexure II-  CNX Nifty Index : August 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,12485.92,0.44,0.94,0.35,1.47,-3.79,0.07
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3103794842,15987.33,0.57,1.27,0.47,2.4,-10.8,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,38425.74,1.36,1.02,0.27,1.89,-3.87,0.08
4,AXISBANK,Axis Bank Ltd.,BANKS,4751190034,85410.29,3.03,1.41,0.48,2.39,-11.46,0.03
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,30463.29,1.08,0.79,0.22,2.64,-11.59,0.07
6,BANKBARODA,Bank of Baroda,BANKS,4422991812,17352.09,0.62,1.39,0.26,4.57,4.08,0.09
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,48932.86,1.74,0.64,0.11,2.11,-15.4,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,20474.44,0.73,1.16,0.24,2.68,-18.65,0.16
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,21004.24,0.74,1.14,0.28,2.37,-5.92,0.07
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,22824.25,0.81,1.04,0.24,3.19,-4.7,0.07
11,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748527520,8460.55,0.3,1.42,0.34,4.03,-13.88,0.08
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1606209612,34626.86,1.23,1.15,0.33,2.69,-3.79,0.07
13,COALINDIA,Coal India Ltd.,MINING,63163644000,47090.36,1.67,0.71,0.15,2.72,-16.56,0.07
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852789610,54689.44,1.94,0.75,0.2,1.77,5.56,0.06
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,13765.49,0.49,1,0.27,3.19,-16.58,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918527570,21927.29,0.78,0.97,0.41,1.59,-7.26,0.08
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2811956836,53821.2,1.91,0.63,0.1,2.34,-2.72,0.07
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3152782420,186983.64,6.63,1.37,0.49,2.5,-11.51,0.07
19,HDFCBANK,HDFC Bank Ltd.,BANKS,5027738234,202421.19,7.18,0.87,0.54,1.2,-7.57,0.07
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,29242.6,1.04,0.73,0.21,1.88,-10.64,0.06
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064985760,10299.61,0.37,1.36,0.32,2.99,-23.91,0.08
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163812580,61072.2,2.17,0.56,0.12,1.2,-6.59,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11609979780,161320.67,5.72,1.48,0.57,2.87,-8.1,0.06
24,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35987121440,17471.27,0.62,0.74,0.11,1.94,-10.1,0.07
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5827617370,41776.23,1.48,1.08,0.41,1.92,-12.24,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320,218498.44,7.75,0.61,0.12,2.03,1.61,0.06
27,ITC,I T C Ltd.,CIGARETTES,8018715001,182236.2,6.46,0.7,0.17,1.55,-0.26,0.06
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9135429910,66784.77,2.37,1,0.32,2.12,-6.28,0.07
29,LT,Larsen & Toubro Ltd.,ENGINEERING,1860236386,131202.78,4.65,1.22,0.53,1.85,-10.52,0.06
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,899859996,46512.04,1.65,0.76,0.17,2.46,14.08,0.06
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,56420.77,2,1.01,0.31,2.26,-10.46,0.08
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,55128.61,1.95,0.88,0.42,1.82,-3.79,0.05
33,NMDC,NMDC Ltd.,MINING,3964716000,8006.96,0.28,0.63,0.11,1.92,-0.88,0.05
34,NTPC,NTPC Ltd.,POWER,82454644000,25077.55,0.89,0.86,0.27,1.85,-10.07,0.04
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,42937.4,1.52,1.06,0.27,3.14,-12.25,0.03
36,PNB,Punjab National Bank,BANKS,3709113894,10784.2,0.38,1.29,0.28,3.56,-4.07,0.06
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,28779,1.02,0.54,0.18,1.33,-7.99,0.05
