Annexure II- Nifty Next 50 Index : December 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,11180.61,1.97,0.98,0.23,1.35,11.5,0.03
2,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,12411.74,2.19,1.31,0.31,1.45,-7.08,0.04
3,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,583964550,23572.96,4.16,1.24,0.29,1.31,8.18,0.02
4,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,12035.74,2.13,0.85,0.18,1.68,3.07,0.07
5,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,9917.94,1.75,0.26,0.03,1.64,-2.81,0.16
6,BANKINDIA,Bank of India,BANKS,7919131700,2458.73,0.43,1.63,0.42,1.05,-12.39,0.04
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,11058.7,1.95,1.23,0.26,2.02,4.87,0.03
8,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,22974.74,4.06,0.55,0.04,1.58,11.31,0.03
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,17531.71,3.1,0.63,0.12,1.72,1.48,0.03
10,CANBK,Canara Bank,BANKS,5429910540,3331.18,0.59,1.5,0.38,0.95,-14.44,0.04
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12965.46,2.29,0.47,0.12,1.02,0.21,0.04
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,9780.75,1.73,0.53,0.05,1.7,-5.55,0.06
