Annexure II- CNX Nifty Jr. Index : February 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301338850,9338.586882,1.68,1.19,0.28,1.47,-4.26,0.09
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,18202.77851,3.27,1.42,0.16,2.80,11.19,0.09
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,17116.73933,3.07,1.80,0.31,2.84,-3.02,0.10
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10019.8305,1.80,0.74,0.10,2.07,0.05,0.09
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291795921,14522.68569,2.61,0.41,0.02,3.07,-13.17,0.09
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,8371.944316,1.50,0.65,0.08,2.13,-2.77,0.14
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8465.451932,1.52,0.39,0.03,0.95,-0.42,0.09
8,BANKINDIA,Bank of India,BANKS,6422630130,5011.569697,0.90,1.94,0.34,3.01,-12.00,0.10
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,15550.98918,2.79,0.99,0.14,2.20,21.26,0.10
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,23425.38559,4.20,0.60,0.07,3.13,8.65,0.08
11,CANBK,Canara Bank,BANKS,4612588370,5941.646921,1.07,1.97,0.34,2.53,-6.24,0.09
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,12963.46088,2.33,0.36,0.04,1.33,3.72,0.09
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,11515.4738,2.07,0.89,0.13,2.54,10.55,0.12
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,7273.756699,1.31,1.87,0.27,2.56,-6.70,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12177.60964,2.19,0.78,0.12,1.10,0.54,0.08
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1756511990,14744.71607,2.65,0.42,0.05,1.75,2.87,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,10947.13655,1.96,0.41,0.05,1.43,-1.22,0.09
18,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271047830,16135.50439,2.90,0.83,0.09,2.73,-0.13,0.10
19,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,8249.039549,1.48,1.03,0.16,2.12,-3.41,0.09
20,FEDERALBNK,Federal Bank Ltd.,BANKS,1714215878,12230.93029,2.20,1.34,0.25,1.56,0.60,0.10
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,6584.07139,1.18,0.14,0.01,0.69,-8.29,0.12
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271284353,11077.35714,1.99,0.21,0.01,1.58,9.84,0.08
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340443706,14181.55332,2.55,0.82,0.08,2.81,6.95,0.11
24,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6720.239977,1.21,0.41,0.05,0.71,3.16,0.08
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,10273.23382,1.84,1.45,0.21,2.62,-5.68,0.10
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35976079050,17122.38117,3.07,0.91,0.14,1.53,-1.26,0.07
27,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18915525170,15830.75675,2.84,0.22,0.01,1.47,1.58,0.06
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,11096.47601,1.99,1.45,0.32,2.31,3.42,0.08
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,14428.47288,2.59,1.52,0.33,1.89,0.10,0.08
30,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,6763.050244,1.21,0.85,0.09,1.69,-2.86,0.08
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,881919360,13718.65243,2.46,0.54,0.04,2.04,0.22,0.09
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,423023945,7058.821711,1.27,0.48,0.06,1.30,-3.54,0.10
33,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,7017.01682,1.26,1.00,0.21,2.37,-6.89,0.09
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5383.500316,0.97,0.72,0.09,1.57,-0.22,0.08
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,10524.79286,1.89,2.07,0.29,2.71,-1.79,0.10
36,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12444898725,7118.44374,1.28,1.53,0.28,2.77,-13.94,0.09
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,11215.26111,2.01,1.80,0.27,2.62,-0.77,0.10
