Annexure II- CNX Nifty Jr. Index : January 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301338850,9753,1.78,1.2,0.29,1.44,6.42,0.08
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,17248,3.16,1.4,0.15,2.85,28.99,0.09
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,17650,3.23,1.77,0.31,1.75,6.9,0.08
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10015,1.83,0.7,0.09,2.42,16.27,0.09
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291464721,16692,3.05,0.33,0.01,1.74,9.87,0.06
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,8641,1.58,0.64,0.08,2.55,10.7,0.09
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8626,1.58,0.36,0.03,1.5,0.12,0.1
8,BANKINDIA,Bank of India,BANKS,6422630130,5695,1.04,1.93,0.35,2.15,-11.78,0.07
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,12825,2.35,0.98,0.14,2.48,9.55,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,21560,3.94,0.49,0.05,1.73,22.43,0.07
11,CANBK,Canara Bank,BANKS,4612588370,6337,1.16,1.95,0.34,2.1,-1.24,0.06
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,12498,2.29,0.34,0.04,1.17,5.04,0.06
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,10417,1.91,0.94,0.15,1.27,3.36,0.1
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6810,1.25,1.88,0.27,1.65,0.8,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12112,2.22,0.82,0.13,1.68,2,0.09
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1756511990,14333,2.62,0.45,0.06,1.95,9.63,0.07
