Annexure II-  CNX Nifty Index : January 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,14596,0.49,1.22,0.38,1.5,11.45,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3098501672,19118,0.64,1.43,0.4,1.81,8.7,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,38840,1.3,0.87,0.17,2.26,14.02,0.05
4,AXISBANK,Axis Bank Ltd.,BANKS,4726537746,98852,3.32,1.4,0.44,2.01,17.06,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,32097,1.08,0.58,0.13,1.15,-1.68,0.05
6,BANKBARODA,Bank of Baroda,BANKS,4294150870,18141,0.61,1.59,0.33,2.83,-10.9,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,51727,1.74,0.69,0.12,2.16,5.95,0.05
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,26379,0.89,1.74,0.29,1.99,9.99,0.07
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,19352,0.65,1.42,0.28,1.9,15.92,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748336820,13224,0.44,1.08,0.26,2.21,-3.2,0.06
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,35305,1.19,0.59,0.09,1.7,11.07,0.05
12,COALINDIA,Coal India Ltd.,MINING,63163644000,23588,0.79,1.13,0.21,1.88,-5.99,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3563861394,7597,0.26,1.86,0.17,3.26,23.65,0.08
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851829195,41045,1.38,0.27,0.02,1.96,-0.4,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,19663,0.66,1.13,0.23,1.52,-4.9,0.06
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918488270,24709,0.83,1.13,0.3,1.54,14.74,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1404741858,48416,1.63,0.34,0.02,2.4,12.2,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3144129130,198473,6.66,1.34,0.4,2.88,11.15,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4834815250,201841,6.78,0.99,0.41,1.5,13.21,0.05
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,34379,1.15,0.84,0.19,1.23,-7.76,0.04
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064963727,17974,0.6,1.73,0.28,2.16,-11.33,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163231384,66068,2.22,0.22,0.01,2.57,22.69,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11583310710,208905,7.01,1.58,0.57,2.38,2.15,0.06
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15910041690,22874,0.77,1.54,0.32,2.02,9.34,0.06
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5285085200,37553,1.26,1.09,0.31,1.16,8.44,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,5742361660,206834,6.94,0.43,0.04,1.74,8.59,0.05
27,ITC,I T C Ltd.,CIGARETTES,7995435531,205502,6.9,0.52,0.09,2.09,-0.04,0.05
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,914903800,5736,0.19,1.85,0.23,2.62,4.48,0.07
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3858648090,56809,1.91,0.93,0.21,1.55,4.61,0.05
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1857336866,138937,4.66,1.43,0.45,1.67,13.78,0.06
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,898423646,37964,1.27,0.39,0.05,1.31,11.02,0.06
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,58321,1.96,0.77,0.13,1.52,2.48,0.06
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,48251,1.62,0.95,0.25,1.21,9.54,0.04
34,NMDC,NMDC Ltd.,MINING,3964716000,11218,0.38,0.96,0.17,1.72,-2.41,0.05
35,NTPC,NTPC Ltd.,POWER,82454644000,29662,1,0.98,0.18,1.51,-0.24,0.05
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,63039,2.12,1.54,0.34,1.74,2.93,0.07
37,PNB,Punjab National Bank,BANKS,3620699260,14120,0.47,1.54,0.33,2.21,-13.44,0.07
38,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,32601,1.09,0.88,0.23,1.49,7.25,0.07
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32350688110,150766,5.06,1.27,0.47,1.91,2.7,0.05
40,SBIN,State Bank of India,BANKS,7465730920,95501,3.21,1.58,0.45,2.18,-0.93,0.05
41,SSLT,Sesa Sterlite Ltd.,MINING,2964689439,22443,0.75,1.4,0.24,2.72,-5.85,0.08
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,69090,2.32,0.35,0.03,1.37,11.03,0.06
43,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473426244,105161,3.53,1.44,0.4,2.3,18.08,0.06
44,TATAPOWER,Tata Power Co. Ltd.,POWER,2704625254,16390,0.55,1.54,0.33,2.12,10.16,0.06
45,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,26031,0.87,1.44,0.31,2.03,-2.24,0.05
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1958727979,126909,4.26,0.43,0.05,1.37,-2.98,0.05
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2399175280,44053,1.48,0.29,0.03,1.44,10.6,0.05
48,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744034390,32150,1.08,1.19,0.29,2.04,17.35,0.06
