Annexure II- CNX Nifty Jr. Index : July 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301423260,11937.69,2.12,1.21,0.3,2.22,23.12,0.08
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,16826.48,2.98,1.42,0.32,1.81,5.55,0.06
3,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10367.88,1.84,0.96,0.16,1.12,3.34,0.08
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,583964550,20427.09,3.62,1.11,0.17,1.85,4.67,0.06
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,11174.79,1.98,0.69,0.09,1.9,20.47,0.08
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8886.81,1.58,0.39,0.05,1.53,1.09,0.1
7,BANKINDIA,Bank of India,BANKS,6649085150,3486.5,0.62,1.6,0.34,2.63,-4.9,0.07
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,14230.64,2.52,1.16,0.22,2.02,7.96,0.07
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,18632.42,3.3,0.52,0.06,1.07,14.14,0.05
10,CANBK,Canara Bank,BANKS,5151969710,3955.38,0.7,1.51,0.36,2.22,-0.45,0.07
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,13259.66,2.35,0.49,0.09,1.14,-2.45,0.06
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,12229.05,2.17,0.66,0.08,2.45,-2.15,0.09
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,7555.49,1.34,1.36,0.29,2.08,13.05,0.07
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,13557.62,2.4,0.69,0.13,1.86,11.33,0.08
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1756820170,16406.21,2.91,0.57,0.1,1.32,4.71,0.06
