Annexure II-  CNX Nifty Index : July 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,12977.46,0.43,1.06,0.36,1.25,-3.96,0.05
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3103794842,17901.67,0.59,1.30,0.46,1.68,1.04,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,39974.36,1.32,1.02,0.24,2.13,16.87,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4749898624,98161.34,3.25,1.42,0.45,1.69,2.60,0.05
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,34455.56,1.14,0.66,0.16,1.53,-0.66,0.05
6,BANKBARODA,Bank of Baroda,BANKS,4422991812,16671.16,0.55,1.36,0.26,2.57,23.14,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,57969.45,1.92,0.46,0.05,1.59,-0.30,0.04
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,25166.97,0.83,1.20,0.22,1.75,12.28,0.06
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,22324.79,0.74,1.08,0.23,1.58,12.89,0.06
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,23949.69,0.79,1.03,0.21,1.89,5.39,0.05
11,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748527520,9823.78,0.32,1.22,0.26,2.53,-4.74,0.06
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1606181976,35988.31,1.19,1.10,0.28,1.62,15.22,0.05
13,COALINDIA,Coal India Ltd.,MINING,63163644000,56431.57,1.87,0.74,0.16,1.65,4.23,0.04
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852789610,51805.19,1.71,0.76,0.18,1.79,14.51,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,16500.03,0.55,0.89,0.20,1.36,-9.50,0.05
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918527570,23643.08,0.78,0.99,0.37,1.32,7.95,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2811956836,55311.66,1.83,0.63,0.09,1.91,8.53,0.06
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3152069610,211251.71,6.99,1.38,0.45,1.61,3.39,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,5022916434,218680.17,7.23,0.92,0.51,0.95,4.17,0.05
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,35014.96,1.16,0.71,0.17,1.73,6.31,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064985760,13535.51,0.45,1.40,0.29,1.83,-5.99,0.07
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163812580,65333.54,2.16,0.52,0.09,1.36,0.54,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11608451670,175519.79,5.80,1.45,0.52,1.65,-1.82,0.05
24,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35987121440,19422.72,0.64,0.74,0.09,1.57,-1.59,0.06
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5824747790,47578.24,1.57,1.13,0.40,1.16,12.03,0.06
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320,215034.49,7.11,0.58,0.10,2.56,9.42,0.05
27,ITC,I T C Ltd.,CIGARETTES,8015519541,182639.78,6.04,0.75,0.17,1.43,3.44,0.05
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9128419200,71129.27,2.35,0.96,0.26,1.51,0.36,0.06
29,LT,Larsen & Toubro Ltd.,ENGINEERING,1860236386,146604.03,4.85,1.28,0.50,1.21,0.47,0.05
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,899769684,40737.38,1.35,0.79,0.18,2.28,-10.04,0.05
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,62969.97,2.08,0.99,0.25,1.52,6.34,0.05
