Annexure II- CNX Nifty Jr. Index : June 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301404760,9695.67,1.81,1.23,0.31,1.72,-1.15,0.08
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,15934.22,2.97,1.58,0.33,2.11,-4.93,0.07
3,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10033.17,1.87,1.03,0.17,2.06,8.53,0.09
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291982275,19515.82,3.63,1.12,0.16,1.71,5.66,0.06
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,9276.1,1.73,0.69,0.1,1.29,0.33,0.1
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8791.04,1.64,0.48,0.07,1.5,9.61,0.16
7,BANKINDIA,Bank of India,BANKS,6649085150,3666.17,0.68,1.64,0.36,2.02,-13.08,0.07
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,13181.8,2.45,1.17,0.21,2.12,-13.67,0.07
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239851630,16317.28,3.04,0.53,0.06,2.23,8.58,0.07
10,CANBK,Canara Bank,BANKS,5151969710,3973.26,0.74,1.49,0.35,1.95,-19.08,0.08
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,13592.18,2.53,0.6,0.11,1.25,1.79,0.07
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,12498.31,2.33,0.75,0.1,1.67,-8.11,0.07
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6683.55,1.24,1.51,0.28,1.75,-3.36,0.08
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12177.61,2.27,0.67,0.12,1.08,-2.37,0.08
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1756820170,15667.85,2.92,0.56,0.1,1.41,3.8,0.07
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,11956.53,2.23,0.7,0.17,1.21,3.29,0.07
17,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271423830,21962.85,4.09,1.13,0.19,2.11,3.65,0.05
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6807.64,1.27,1.09,0.21,1.58,-3.51,0.07
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1716125494,12682.17,2.36,1.19,0.26,2.03,3.43,0.09
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,7089.85,1.32,0.22,0.02,0.94,3.72,0.09
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282094553,14497.76,2.7,0.67,0.08,1.71,13.58,0.07
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340446901,15458.92,2.88,0.72,0.08,1.65,17.82,0.09
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7265.19,1.35,0.25,0.03,1.44,1.72,0.11
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,12071.11,2.25,1.21,0.2,1.59,8.05,0.06
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,711317428,15980.85,2.98,0.99,0.16,1.78,4.45,0.08
26,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18962998530,22979.09,4.28,0.42,0.03,2.96,-6.65,0.08
27,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,9481.06,1.77,1.27,0.3,1.74,-4.81,0.06
28,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,13582.04,2.53,1.45,0.36,2.05,7.61,0.06
29,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,7650.32,1.42,0.79,0.1,2.46,3.7,0.07
30,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,17133.89,3.19,0.85,0.11,1.59,-7.03,0.06
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,881919360,15739.58,2.93,0.92,0.14,1.86,6.52,0.06
32,MRF,MRF Ltd.,TYRES,42411430,8378.77,1.56,1.21,0.29,1.81,-4.58,0.05
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,423115370,8152.08,1.52,0.45,0.06,1.35,4.11,0.08
34,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6300.02,1.17,0.72,0.14,1.28,-3.9,0.06
35,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5610,1.04,0.6,0.09,1.32,2.83,0.08
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,9192.59,1.71,1.47,0.26,1.75,-6.09,0.07
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12444898725,6228.66,1.16,1.59,0.27,2.51,-8.74,0.1
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,10694.85,1.99,1.52,0.27,1.59,-7.12,0.07
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2526328000,4085.27,0.76,1.7,0.39,2.41,-8.22,0.08
40,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,5258.18,0.98,1.86,0.43,2.32,-5.11,0.08
41,RPOWER,Reliance Power Ltd.,POWER,28051264660,3147.26,0.59,1.54,0.36,2.87,-15.14,0.16
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,6346.31,1.18,1.16,0.23,2.02,-6.75,0.09
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240390,12008.87,2.24,1.46,0.34,1.75,-1.44,0.08
44,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,14319.15,2.67,1.12,0.17,1.96,3.62,0.06
45,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,7400.71,1.38,1.06,0.31,1.31,-2.63,0.06
46,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5305.39,0.99,1.05,0.33,1.89,-9.61,0.08
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,15266.59,2.84,0.9,0.17,1.67,-3.17,0.09
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,6219.36,1.16,0.99,0.15,1.87,-1.99,0.09
49,UNIONBANK,Union Bank of India,BANKS,6357788360,3710.96,0.69,1.61,0.28,3.34,-14.85,0.08
50,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,16114.91,3,1.11,0.16,2.55,-3.09,0.07
,,,,,537083,,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-July-2014 to 30-June-2015,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-June-2015 to 30-June-2015,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-June-2015,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
