Annexure II-  CNX Nifty Index : June 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,13512.03,0.46,1.06,0.35,1.38,-4.49,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3103020402,17712.3,0.6,1.29,0.44,1.56,-3.24,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,34203.25,1.16,0.96,0.22,1.67,-4.03,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4748824916,95649.31,3.23,1.4,0.44,1.54,-4.52,0.05
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,34682.74,1.17,0.67,0.17,1.82,9.75,0.05
6,BANKBARODA,Bank of Baroda,BANKS,4422991812,13538.86,0.46,1.38,0.28,1.76,-11.35,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,58142.47,1.96,0.5,0.06,1.29,-1.3,0.05
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,22413.84,0.76,1.36,0.26,1.87,-1.49,0.07
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,19775.19,0.67,1.07,0.22,2,-7.67,0.06
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,22724.75,0.77,1.06,0.23,1.4,3.43,0.05
11,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748527520,10312.27,0.35,1.14,0.24,2.58,-5.74,0.07
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605920880,31229.96,1.05,1.05,0.27,1.86,-5.39,0.06
13,COALINDIA,Coal India Ltd.,MINING,63163644000,54143.71,1.83,0.8,0.18,1.62,7.72,0.05
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851905870,45191.94,1.53,0.71,0.16,1.13,0.68,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,18231.62,0.62,0.82,0.18,1.59,0.86,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918527570,21901.14,0.74,1,0.36,1.25,-5.44,0.07
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2811698436,50957.4,1.72,0.57,0.07,1.82,-9,0.06
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3151155000,204265.75,6.9,1.35,0.43,1.61,4.89,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,5017934034,209718.04,7.08,0.93,0.51,1.11,1.58,0.06
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,32937.06,1.11,0.68,0.16,1.28,-6.43,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064983567,14397.54,0.49,1.47,0.29,1.7,-13.42,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163808180,64982.51,2.2,0.47,0.07,1.63,6.65,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11605927540,178731.28,6.04,1.46,0.52,1.71,-2.92,0.06
24,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35983362550,19734.38,0.67,0.8,0.1,1.95,1.7,0.07
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5297767670,37900.29,1.28,1.09,0.37,1.82,-0.14,0.06
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320,196526.81,6.64,0.59,0.12,1.23,-2.69,0.05
27,ITC,I T C Ltd.,CIGARETTES,8015519541,176561.13,5.96,0.69,0.15,1.58,-3.65,0.05
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,4560796235,70820.55,2.39,0.98,0.27,1.6,-0.96,0.06
29,LT,Larsen & Toubro Ltd.,ENGINEERING,1859719164,145871.88,4.93,1.34,0.48,1.47,7.76,0.05
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,899669776,45278.6,1.53,0.72,0.16,1.72,2.88,0.05
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,59217.91,2,0.98,0.24,1.63,1.93,0.06
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,53225.59,1.8,0.86,0.32,1.14,6.28,0.05
33,NMDC,NMDC Ltd.,MINING,3964716000,9410.17,0.32,0.83,0.16,1.64,-8.02,0.07
34,NTPC,NTPC Ltd.,POWER,82454644000,28422.6,0.96,0.89,0.24,1.17,0.81,0.05
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,55548.62,1.88,1,0.22,1.5,-6.14,0.06
36,PNB,Punjab National Bank,BANKS,3709113894,10333.77,0.35,1.19,0.25,2.05,-9.66,0.07
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,30640.33,1.04,0.68,0.21,1.1,-3.2,0.06
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,32360971760,164866.51,5.57,1.09,0.4,1.82,14.04,0.05
39,SBIN,State Bank of India,BANKS,7566207932,82312.62,2.78,1.42,0.47,1.68,-5.54,0.05
40,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2406423348,95310.48,3.22,0.73,0.11,2.49,-9.47,0.05
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774407204,82313.99,2.78,1.42,0.41,1.73,-9.86,0.05
42,TATAPOWER,Tata Power Co. Ltd.,POWER,2704625254,13431.72,0.45,1.37,0.35,2.34,-0.54,0.07
43,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,20307.73,0.69,1.31,0.34,1.72,-7.28,0.05
