Annexure II- CNX Nifty Jr. Index : March 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301361830,9029.17,1.69,1.18,0.29,1.84,-3.32,0.08
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,16058.90,3.00,1.40,0.17,2.17,-11.78,0.09
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,15949.75,2.98,1.77,0.32,1.72,-6.82,0.10
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10439.17,1.95,0.78,0.11,2.39,4.19,0.10
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291795921,16374.46,3.06,0.60,0.04,2.62,12.75,0.08
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,8414.48,1.57,0.73,0.10,2.27,0.51,0.08
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,7840.34,1.47,0.43,0.04,1.80,-7.38,0.09
8,BANKINDIA,Bank of India,BANKS,6422630130,4189.14,0.78,1.85,0.35,1.49,-16.41,0.08
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,15829.94,2.96,1.10,0.18,1.96,1.79,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,23004.99,4.30,0.66,0.09,1.64,-1.79,0.07
11,CANBK,Canara Bank,BANKS,4612588370,5259.54,0.98,1.93,0.35,1.66,-11.48,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,13422.59,2.51,0.42,0.05,1.84,3.54,0.09
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,11797.77,2.21,0.70,0.08,2.57,2.45,0.09
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6827.50,1.28,1.77,0.27,1.90,-6.14,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,11961.64,2.24,0.77,0.13,1.70,-1.77,0.08
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1756511990,14853.79,2.78,0.46,0.06,1.83,0.74,0.06
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,11356.11,2.12,0.49,0.07,1.19,3.74,0.08
18,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271072830,15792.13,2.95,0.88,0.11,1.49,-2.14,0.06
19,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,8159.53,1.53,1.04,0.17,1.81,-1.09,0.07
20,FEDERALBNK,Federal Bank Ltd.,BANKS,1714464500,11319.75,2.12,1.37,0.27,2.10,-7.46,0.10
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,7254.07,1.36,0.17,0.01,1.44,10.18,0.10
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271294553,11025.18,2.06,0.28,0.02,2.13,-0.47,0.07
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340444322,13006.44,2.43,0.85,0.10,2.40,-8.29,0.11
24,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7297.62,1.36,0.36,0.05,1.42,8.59,0.08
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,10757.47,2.01,1.43,0.21,2.08,4.71,0.07
