Annexure II-  CNX Nifty Index : March 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,14617.65,0.50,1.11,0.35,1.69,-6.87,0.07
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3099491572,19643.75,0.67,1.35,0.40,1.92,-6.17,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,36737.13,1.25,0.90,0.17,1.69,-0.89,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4733612072,95145.49,3.23,1.44,0.42,2.23,-8.55,0.07
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,27062.78,0.92,0.52,0.11,1.21,-6.35,0.05
6,BANKBARODA,Bank of Baroda,BANKS,4294150870,15356.23,0.52,1.45,0.31,1.78,-11.72,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,54439.79,1.85,0.56,0.07,2.74,10.40,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,21279.13,0.72,1.66,0.27,2.31,-10.22,0.08
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,20953.24,0.71,1.31,0.25,2.38,8.66,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748336820,12146.55,0.41,1.06,0.22,2.26,-16.07,0.06
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605920880,36153.97,1.23,0.73,0.14,1.70,4.46,0.06
12,COALINDIA,Coal India Ltd.,MINING,63163644000,46643.92,1.58,1.05,0.20,1.78,-7.88,0.06
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851898645,44292.63,1.50,0.37,0.04,1.34,4.17,0.05
14,GAIL,GAIL (India) Ltd.,GAS,12684774000,18027.08,0.61,1.02,0.20,1.67,-6.16,0.06
15,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918521850,23045.17,0.78,1.12,0.30,1.84,-3.49,0.08
16,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2810890324,53146.78,1.80,0.37,0.03,1.55,-2.96,0.07
17,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3145757340,206943.65,7.03,1.30,0.37,2.02,-1.46,0.07
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5010603034,198642.62,6.75,0.97,0.45,1.24,-4.53,0.06
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31671.01,1.08,0.83,0.20,1.12,-1.67,0.04
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064980382,16597.60,0.56,1.61,0.28,2.96,-15.60,0.07
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163231384,61893.61,2.10,0.26,0.02,1.78,-4.02,0.06
22,ICICIBANK,ICICI Bank Ltd.,BANKS,11590693270,182843.19,6.21,1.55,0.57,1.69,-8.85,0.06
23,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35977374010,20605.83,0.70,0.83,0.10,3.30,20.34,0.07
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15919544190,22210.99,0.75,1.51,0.36,1.96,-3.64,0.06
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5292647380,38300.12,1.30,1.02,0.31,1.60,-3.33,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,5742361660,221448.28,7.52,0.46,0.06,1.39,-3.40,0.06
27,ITC,I T C Ltd.,CIGARETTES,8002568421,182063.38,6.18,0.52,0.08,1.69,-9.82,0.05
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3860386940,56473.30,1.92,0.87,0.20,1.31,-6.00,0.07
29,LT,Larsen & Toubro Ltd.,ENGINEERING,1858762510,140617.75,4.78,1.47,0.46,1.87,-2.74,0.06
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,898719508,48139.04,1.63,0.48,0.09,1.60,14.97,0.05
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,54780.85,1.86,0.80,0.15,1.66,-8.06,0.06
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,48912.88,1.66,0.97,0.34,0.93,2.11,0.05
33,NMDC,NMDC Ltd.,MINING,3964716000,10206.90,0.35,0.90,0.16,1.88,-7.44,0.06
34,NTPC,NTPC Ltd.,POWER,82454644000,30322.26,1.03,1.06,0.23,2.52,-5.81,0.08
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,54965.50,1.87,1.34,0.28,1.38,-5.72,0.06
36,PNB,Punjab National Bank,BANKS,3620699260,10750.72,0.37,1.44,0.31,1.90,-12.78,0.07
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,31995.02,1.09,0.90,0.26,1.02,-7.40,0.07
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,32355185820,136116.65,4.62,1.22,0.46,1.53,-4.53,0.06
39,SBIN,State Bank of India,BANKS,7465730920,82548.72,2.80,1.57,0.45,1.48,-11.47,0.06
40,SSLT,Sesa Sterlite Ltd.,MINING,2964689439,20857.60,0.71,1.50,0.26,2.65,-12.91,0.08
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,77081.07,2.62,0.42,0.04,2.11,12.39,0.07
42,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473426244,98879.51,3.36,1.46,0.43,1.73,-7.27,0.06
43,TATAPOWER,Tata Power Co. Ltd.,POWER,2704625254,13963.00,0.47,1.56,0.36,1.60,-11.23,0.07
44,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,21117.77,0.72,1.43,0.37,1.50,-10.84,0.06
45,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1958727979,130585.09,4.43,0.51,0.08,1.42,-4.53,0.05
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4801994940,38256.11,1.30,0.38,0.05,1.54,-12.03,0.06
