Annexure II- CNX Nifty Jr. Index : May 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301371930,9808.57,1.82,1.26,0.32,3.07,15.27,0.07
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,16759.66,3.12,1.63,0.33,2.95,1.98,0.08
3,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,9244.82,1.72,1.04,0.17,2.19,6.63,0.09
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291982275,18470.13,3.43,0.99,0.12,3.06,6.89,0.08
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,9245.83,1.72,0.74,0.11,1.52,6.43,0.12
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8020.08,1.49,0.46,0.06,0.73,2.97,0.10
7,BANKINDIA,Bank of India,BANKS,6649085150,4218.02,0.78,1.72,0.37,3.06,-8.96,0.08
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,15268.32,2.84,1.10,0.18,2.44,-1.85,0.07
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239851630,15028.35,2.79,0.52,0.05,2.61,15.78,0.07
10,CANBK,Canara Bank,BANKS,4751969710,4909.91,0.91,1.65,0.39,2.67,-9.25,0.08
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,13352.62,2.48,0.54,0.09,1.37,0.78,0.08
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,13601.07,2.53,0.75,0.10,2.70,11.29,0.06
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6915.93,1.29,1.56,0.28,2.22,-0.33,0.08
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12473.71,2.32,0.71,0.13,1.98,6.52,0.08
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1756511990,15091.85,2.81,0.51,0.08,1.39,7.13,0.07
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,11575.22,2.15,0.66,0.14,1.49,5.60,0.08
17,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271072830,21161.46,3.93,1.08,0.18,2.98,24.39,0.06
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7055.52,1.31,1.05,0.19,2.11,-10.41,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1715285654,12255.72,2.28,1.21,0.25,2.37,8.75,0.09
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,6835.75,1.27,0.24,0.03,0.82,1.40,0.09
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271294553,12275.87,2.28,0.64,0.08,2.08,-1.68,0.08
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340446901,13120.46,2.44,0.80,0.09,2.73,-0.16,0.12
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7142.23,1.33,0.29,0.03,1.07,-1.64,0.07
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,11172.17,2.08,1.45,0.24,2.86,7.95,0.08
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,711168932,15297.29,2.84,0.98,0.16,1.85,0.39,0.07
26,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18937692930,24583.57,4.57,0.43,0.03,3.26,19.32,0.08
27,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,9959.87,1.85,1.28,0.30,2.28,-1.71,0.07
28,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,12621.15,2.35,1.44,0.36,2.14,-2.57,0.06
29,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,7377.39,1.37,0.72,0.09,1.39,0.99,0.08
30,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,18428.92,3.43,0.82,0.10,3.56,9.20,0.06
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,881919360,14776.15,2.75,0.79,0.11,2.50,-3.41,0.07
32,MRF,MRF Ltd.,TYRES,42411430,8781.04,1.63,1.18,0.28,2.05,-2.15,0.05
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,423115370,7830.53,1.46,0.46,0.07,0.86,9.51,0.08
34,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6555.94,1.22,0.81,0.16,2.14,1.56,0.06
35,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5455.50,1.01,0.69,0.10,1.74,4.12,0.08
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,9788.67,1.82,1.63,0.28,2.27,2.62,0.08
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12444898725,6825.44,1.27,1.62,0.28,3.73,12.48,0.09
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,11514.99,2.14,1.61,0.28,2.25,-4.91,0.07
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2526328000,4451.38,0.83,1.75,0.37,2.43,-2.15,0.07
40,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,5541.09,1.03,1.96,0.45,2.97,-1.24,0.08
41,RPOWER,Reliance Power Ltd.,POWER,28051264660,3708.65,0.69,1.60,0.39,2.32,-6.71,0.08
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,6805.88,1.27,1.25,0.24,1.85,-5.11,0.08
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240390,12184.70,2.27,1.47,0.33,2.81,0.57,0.10
