Annexure II-  CNX Nifty Index : May 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,14146.69,0.47,1.11,0.36,1.98,5.49,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3101000872,18293.62,0.61,1.30,0.45,2.41,2.24,0.08
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,35638.67,1.19,0.89,0.19,1.74,3.23,0.07
4,AXISBANK,Axis Bank Ltd.,BANKS,4743751434,100068.49,3.35,1.40,0.42,2.12,3.10,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,31601.21,1.06,0.63,0.15,2.55,18.86,0.06
6,BANKBARODA,Bank of Baroda,BANKS,4422991812,15271.72,0.51,1.46,0.30,4.70,-3.79,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,58910.69,1.98,0.55,0.07,1.74,11.68,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,22752.89,0.76,1.40,0.27,2.38,5.71,0.07
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,21419.07,0.72,0.88,0.15,2.11,5.18,0.06
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,21970.15,0.74,1.28,0.27,2.16,11.17,0.06
11,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748527520,10939.93,0.37,1.13,0.25,1.90,-9.77,0.06
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605920880,33008.66,1.11,0.95,0.23,2.23,2.27,0.07
13,COALINDIA,Coal India Ltd.,MINING,63163644000,50262.07,1.69,0.87,0.19,1.57,7.80,0.05
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851905870,44884.69,1.50,0.62,0.12,1.56,6.80,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,18075.89,0.61,0.95,0.20,1.67,7.92,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918524570,23162.03,0.78,1.01,0.29,1.55,1.43,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2811391844,55993.02,1.88,0.47,0.05,1.93,14.79,0.06
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3149403740,194641.02,6.53,1.34,0.42,2.02,5.65,0.07
19,HDFCBANK,HDFC Bank Ltd.,BANKS,5015692434,206363.56,6.92,0.92,0.49,1.40,6.24,0.07
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,35199.65,1.18,0.71,0.16,1.57,15.80,0.04
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064983567,16629.87,0.56,1.50,0.28,2.28,0.51,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163464851,60921.63,2.04,0.41,0.05,1.61,1.08,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11597576990,183966.57,6.17,1.47,0.53,2.15,-4.20,0.06
24,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35981718060,19403.00,0.65,0.85,0.11,1.79,-1.03,0.07
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5295333290,37937.13,1.27,1.08,0.35,1.56,6.09,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,5742361660,201962.31,6.77,0.53,0.10,1.50,4.17,0.05
27,ITC,I T C Ltd.,CIGARETTES,8015519541,183256.05,6.14,0.61,0.11,1.55,1.47,0.05
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,4557742615,71462.58,2.40,0.93,0.23,2.20,4.98,0.07
29,LT,Larsen & Toubro Ltd.,ENGINEERING,1859719164,135370.05,4.54,1.40,0.49,1.70,1.42,0.05
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,899562640,44005.78,1.48,0.67,0.15,2.14,3.42,0.05
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,58098.07,1.95,0.89,0.20,2.06,9.88,0.07
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,50081.68,1.68,0.85,0.30,1.46,1.61,0.05
33,NMDC,NMDC Ltd.,MINING,3964716000,10230.68,0.34,0.91,0.18,1.77,0.62,0.06
34,NTPC,NTPC Ltd.,POWER,82454644000,28195.47,0.95,0.98,0.27,1.47,-9.15,0.06
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,59181.89,1.98,1.18,0.24,2.67,8.50,0.07
36,PNB,Punjab National Bank,BANKS,3709113894,11439.37,0.38,1.23,0.27,2.65,-3.82,0.07
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,31653.60,1.06,0.81,0.26,1.16,1.05,0.06
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,32360971760,144573.47,4.85,1.12,0.43,1.50,1.70,0.06
39,SBIN,State Bank of India,BANKS,7566207932,87137.04,2.92,1.41,0.45,2.15,3.11,0.06
40,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2406120674,105268.55,3.53,0.67,0.10,1.41,2.90,0.05
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774715762,91324.78,3.06,1.42,0.42,2.30,-5.23,0.05
42,TATAPOWER,Tata Power Co. Ltd.,POWER,2704625254,13504.18,0.45,1.38,0.36,1.94,-1.65,0.07
43,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,21901.14,0.73,1.38,0.35,2.57,-8.84,0.06
44,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1958727979,133466.30,4.47,0.59,0.12,1.24,5.95,0.05
45,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4805461200,33723.47,1.13,0.51,0.07,3.51,-10.77,0.05
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744046270,30461.88,1.02,1.25,0.35,2.13,11.35,0.07
47,VEDL,Vedanta Ltd.,MINING,2964694239,21622.65,0.72,1.30,0.23,2.85,-6.39,0.07
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4938118842,36905.04,1.24,0.56,0.12,1.10,4.29,0.05
49,YESBANK,Yes Bank Ltd.,BANKS,4177360980,28727.12,0.96,1.42,0.39,1.99,5.10,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,17701.96,0.59,0.78,0.15,1.55,3.75,0.06
,,,,,2982717.03,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-June-2014 to 29-May-2015,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2015 to 29-May-2015,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-May-2015,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
