Annexure II- Nifty Next 50 Index : November 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10027.06,1.80,1.00,0.23,1.75,0.18,0.04
2,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,13357.80,2.40,1.38,0.33,2.22,0.96,0.03
3,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,583964550,21791.43,3.92,1.22,0.27,1.84,-3.13,0.03
4,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,11677.31,2.10,0.77,0.14,1.08,-2.00,0.07
5,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,10205.16,1.84,0.31,0.04,0.59,2.92,0.12
6,BANKINDIA,Bank of India,BANKS,7919131700,2806.31,0.50,1.64,0.41,1.49,-0.08,0.04
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,10544.82,1.90,1.25,0.27,1.47,-1.02,0.03
8,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,20640.24,3.71,0.49,0.03,2.30,-1.12,0.04
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,17276.09,3.11,0.64,0.12,1.59,-9.56,0.04
10,CANBK,Canara Bank,BANKS,5429910540,3893.17,0.70,1.54,0.38,1.47,-1.68,0.04
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12938.81,2.33,0.50,0.13,1.05,1.62,0.04
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,10355.83,1.86,0.56,0.06,1.42,4.91,0.06
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,13466.61,2.42,0.81,0.19,1.26,-7.66,0.06
14,DABUR,Dabur India Ltd.,PERSONAL CARE,1757089420,15285.12,2.75,0.57,0.12,1.16,1.04,0.03
15,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,14632.65,2.63,0.73,0.19,1.50,-0.31,0.04
16,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271423830,20475.07,3.68,1.12,0.27,2.16,-5.71,0.03
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6821.41,1.23,0.83,0.18,1.21,-0.60,0.04
18,FEDERALBNK,Federal Bank Ltd.,BANKS,3436756200,10086.88,1.81,1.03,0.26,1.77,8.20,0.06
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6793.97,1.22,0.28,0.05,1.21,-2.45,0.07
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,6980.06,1.26,0.33,0.07,1.06,-0.42,0.09
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282156156,13748.56,2.47,0.89,0.18,1.27,-1.06,0.03
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340532966,15348.90,2.76,0.80,0.11,2.56,-2.73,0.06
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,13907.89,2.50,1.08,0.21,2.31,9.32,0.03
24,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,838469864,20993.99,3.78,1.09,0.23,3.21,-4.70,0.04
25,IOC,Indian Oil Corporation Ltd.,REFINERIES,24279524820,20708.11,3.73,0.71,0.15,1.27,5.33,0.03
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,9497.52,1.71,1.20,0.32,1.67,-0.90,0.04
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,14597.16,2.63,1.46,0.43,1.64,1.00,0.03
28,MRF,MRF Ltd.,TYRES,42411430,9504.55,1.71,1.19,0.35,1.45,-2.23,0.04
29,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,6357.53,1.14,0.83,0.15,1.75,2.53,0.05
30,MARICO,Marico Ltd.,PERSONAL CARE,645085599,10995.57,1.98,0.63,0.11,1.67,9.16,0.04
