Annexure II- CNX Nifty Jr. Index : October 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10008.76,1.79,0.91,0.19,1.39,-8.94,0.04
2,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,13230.72,2.37,1.41,0.32,1.32,1.57,0.03
3,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,583964550,22496.51,4.02,1.23,0.27,1.60,8.68,0.03
4,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,11915.25,2.13,0.78,0.14,1.60,13.79,0.07
5,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,9991.45,1.79,0.32,0.04,0.92,5.6,0.13
6,BANKINDIA,Bank of India,BANKS,7919131700,2808.45,0.5,1.69,0.42,1.51,-3.17,0.05
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,10653.92,1.9,1.28,0.27,2.87,-5.31,0.03
8,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,20863.65,3.73,0.46,0.03,3.74,9.5,0.05
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,19101.49,3.42,0.62,0.1,1.37,4.86,0.03
10,CANBK,Canara Bank,BANKS,5429910540,3959.67,0.71,1.62,0.39,1.55,-1.04,0.04
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12732.23,2.28,0.48,0.1,1.50,-0.64,0.05
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,9871.26,1.76,0.55,0.05,2.32,-10.77,0.06
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,14583.79,2.61,0.79,0.16,1.18,-1.98,0.07
14,DABUR,Dabur India Ltd.,PERSONAL CARE,1757089420,15091.08,2.7,0.57,0.11,1.17,-2.26,0.02
15,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,14677.81,2.62,0.71,0.18,1.57,3.49,0.05
16,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271423830,21715.59,3.88,1.14,0.27,1.44,-0.28,0.03
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6862.72,1.23,0.86,0.19,2.02,-3.95,0.05
18,FEDERALBNK,Federal Bank Ltd.,BANKS,3434817396,9316.94,1.67,1.03,0.25,2.90,-15.17,0.06
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6964.36,1.25,0.26,0.04,0.36,-0.62,0.06
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,7009.49,1.25,0.32,0.06,0.53,-1.47,0.07
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282156156,13896.8,2.48,0.88,0.16,2.23,-5.5,0.04
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340532966,15777.46,2.82,0.77,0.11,2.02,3.46,0.05
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,12721.73,2.27,1.09,0.2,1.76,-0.71,0.03
24,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,838469864,22028.38,3.94,1.07,0.22,1.23,-9.26,0.04
25,IOC,Indian Oil Corporation Ltd.,REFINERIES,24279524820,19660.53,3.52,0.75,0.16,0.95,-0.61,0.03
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,9809.2,1.75,1.24,0.33,1.30,2.37,0.05
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,14452.57,2.58,1.47,0.43,1.71,1.97,0.03
28,MRF,MRF Ltd.,TYRES,42411430,9726.41,1.74,1.19,0.35,1.18,-5.21,0.03
29,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,6199.04,1.11,0.86,0.15,1.58,-5.12,0.05
30,MARICO,Marico Ltd.,PERSONAL CARE,645085599,10073.31,1.8,0.66,0.12,0.90,-4.21,0.04
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,1322879040,11194.77,2,1.17,0.23,2.63,6.77,0.05
32,NMDC,NMDC Ltd.,MINING,3964716000,7947.51,1.42,0.69,0.13,1.67,7.68,0.06
33,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,5723.78,1.02,0.68,0.15,1.61,-4.12,0.05
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,423870900,8387.32,1.5,0.51,0.13,1.01,-1.66,0.05
35,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5823,1.04,0.66,0.16,1.04,8.34,0.06
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,10194.29,1.82,1.54,0.36,2.95,4.22,0.04
37,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2526328000,4758.36,0.85,1.54,0.36,1.95,12.31,0.03
38,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12444898725,7552.62,1.35,1.62,0.27,2.31,10.98,0.06
39,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,5366.47,0.96,1.7,0.4,1.42,13.96,0.03
40,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,9701.74,1.73,1.5,0.35,2.43,-8.92,0.05
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,13695.51,2.45,0.86,0.13,1.89,1.98,0.05
42,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,11816.56,2.11,1.46,0.42,1.18,0.1,0.05
43,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5509.77,0.99,1.28,0.3,1.74,3.89,0.06
44,SUNDARMFIN,Sundaram Finance Ltd.,FINANCE,1111038600,10127.25,1.81,0.59,0.11,1.58,-3.12,0.13
45,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,7181.8,1.28,1.17,0.39,1.40,6.99,0.05
46,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,630622680,5518.08,0.99,1.1,0.38,1.38,4.42,0.05
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,14585.16,2.61,0.61,0.11,1.67,10.1,0.06
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,13831.27,2.47,0.94,0.15,2.31,0.31,0.04
49,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,6247.98,1.12,1.09,0.2,1.69,6.45,0.07
50,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,15939.96,2.85,0.87,0.14,1.55,1.65,0.04
,,,,,559303.76,,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2014 to 30-Oct-2015,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2015 to 30-Oct-2015,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Oct-2015.,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
