Annexure II- CNX Nifty Jr. Index : September 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301566830,11637.6,2.12,1.2,0.36,1.91,4.82,0.07
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10991.14,2.01,0.93,0.19,2.24,7.57,0.06
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,13025.98,2.38,1.44,0.34,2.28,2.16,0.05
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,583964550,20700.18,3.78,1.24,0.28,1.57,2.15,0.04
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,10471.26,1.91,0.81,0.14,2.12,-4.44,0.12
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,9461.41,1.73,0.37,0.05,2.49,-0.86,0.13
7,BANKINDIA,Bank of India,BANKS,6649085150,2900.43,0.53,1.71,0.42,2.56,-4.61,0.07
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,11251.49,2.05,1.3,0.3,2.41,-22.29,0.05
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,18215.53,3.33,0.63,0.11,1.9,5.19,0.05
10,CANBK,Canara Bank,BANKS,5151969710,4001.14,0.73,1.59,0.38,2.66,-2.22,0.06
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12814.2,2.34,0.47,0.11,1.79,-1.63,0.07
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,11062.38,2.02,0.6,0.07,3.69,4.21,0.06
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,14878.54,2.72,0.82,0.17,1.81,-0.33,0.08
14,DABUR,Dabur India Ltd.,PERSONAL CARE,1756820170,15438.36,2.82,0.64,0.14,1.5,1.08,0.04
15,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,14182.97,2.59,0.76,0.2,1.82,-5.68,0.07
16,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271423830,21775.75,3.98,1.14,0.28,2.27,-6.43,0.05
