Annexure II- Nifty Next 50 Index : August 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,6137.13,0.99,0.75,0.12,0.99,-8.4,0.06
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10329.66,1.66,0.59,0.12,1.17,-0.88,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,12457.82,2,1.09,0.25,1.61,-8.08,0.04
4,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,538721900,23134.49,3.71,0.76,0.12,2.84,6.16,0.03
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795804810,17946.58,2.88,0.69,0.12,2.14,8.94,0.05
6,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2400000000,7322.7,1.18,1,0.29,0.97,-1.25,0.03
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,10491.09,1.68,1.12,0.25,2.9,11.74,0.03
8,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,20343.93,3.27,0.73,0.15,2.31,17.95,0.03
9,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,9748.59,1.56,0.64,0.09,2.03,3.82,0.04
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748624810,11201.37,1.8,1.4,0.27,2.23,4.24,0.04
11,CASTROLIND,Castrol India Ltd.,PETROCHEMICALS,2472805960,8843.74,1.42,0.62,0.14,1.66,1.05,0.03
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12638.94,2.03,0.46,0.1,2.01,1.61,0.05
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,11691.75,1.88,0.56,0.06,1.38,-7.02,0.04
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12501.61,2.01,0.65,0.14,1.77,5.72,0.05
15,DLF,DLF Ltd.,CONSTRUCTION,3567810040,6905.94,1.11,2.04,0.44,1.97,-4,0.04
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1761492970,16380.48,2.63,0.5,0.1,1.2,-4.28,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,16851.95,2.7,0.57,0.12,1.81,10.35,0.04
