Annexure II-  Nifty 50 Index : February 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,11234.10,0.45,0.82,0.34,1.70,-3.72,0.04
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,17923.67,0.72,1.33,0.35,3.56,-7.33,0.05
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3103794842,14583.96,0.58,1.03,0.40,1.28,-3.79,0.04
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,38144.13,1.53,0.91,0.31,1.68,-2.74,0.03
5,AXISBANK,Axis Bank Ltd.,BANKS,4761048342,62613.74,2.51,1.44,0.49,2.78,-7.99,0.03
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,30573.82,1.22,0.90,0.28,1.71,-6.01,0.04
7,BANKBARODA,Bank of Baroda,BANKS,4608319196,12460.66,0.50,1.56,0.28,5.79,5.18,0.05
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,8227.49,0.33,1.27,0.31,3.68,-34.50,0.05
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,20024.37,0.80,0.89,0.21,2.45,-13.87,0.03
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,42880.11,1.72,0.61,0.12,1.64,8.83,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,15239.72,0.61,1.02,0.32,2.08,-4.34,0.04
12,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748624810,6634.20,0.27,1.53,0.36,3.42,-3.44,0.05
13,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1606748564,26022.46,1.04,1.02,0.37,1.99,-12.13,0.03
14,COALINDIA,Coal India Ltd.,MINING,63163644000,39287.79,1.57,0.90,0.24,2.68,-2.80,0.04
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,38332.55,1.53,0.78,0.16,2.05,-2.23,0.03
16,GAIL,GAIL (India) Ltd.,GAS,12684774000,14321.81,0.57,1.12,0.29,1.67,-17.21,0.04
17,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,933317800,21429.71,0.86,0.74,0.38,1.16,-1.94,0.05
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2819692548,45862.30,1.84,0.82,0.20,1.99,-6.06,0.04
19,HDFCBANK,HDFC Bank Ltd.,BANKS,5052186234,191488.72,7.67,0.84,0.63,1.31,-7.43,0.04
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31449.52,1.26,0.78,0.28,1.71,-2.56,0.03
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064985760,8802.00,0.35,1.61,0.40,3.60,-2.48,0.05
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163870822,59296.98,2.37,0.58,0.17,1.76,1.65,0.03
23,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3157781670,167409.80,6.70,1.23,0.52,1.60,-10.14,0.03
24,ITC,I T C Ltd.,CIGARETTES,8038258421,166355.78,6.66,0.77,0.28,1.57,-7.67,0.03
25,ICICIBANK,ICICI Bank Ltd.,BANKS,11626111420,110477.12,4.42,1.40,0.53,2.71,-17.42,0.04
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,36004170560,11641.23,0.47,0.62,0.08,2.50,1.11,0.05
27,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5947059180,40475.68,1.62,1.10,0.49,1.62,-10.64,0.03
28,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320,216630.25,8.67,0.79,0.24,1.61,-6.94,0.04
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9166275325,64718.30,2.59,1.14,0.49,1.96,-7.78,0.05
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1862596078,88182.75,3.53,1.18,0.50,2.80,-2.33,0.04
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,901067068,41895.63,1.68,0.74,0.15,2.83,2.56,0.03
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,56444.50,2.26,1.05,0.38,2.00,-0.42,0.04
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,43018.01,1.72,0.80,0.29,1.98,-20.98,0.03
34,NTPC,NTPC Ltd.,POWER,82454644000,24633.32,0.99,0.92,0.30,2.17,-16.11,0.04
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,34873.03,1.40,1.24,0.36,3.36,-14.21,0.04
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,28575.47,1.14,0.63,0.23,1.99,-12.04,0.04
37,PNB,Punjab National Bank,BANKS,3927194980,5297.79,0.21,1.39,0.35,3.42,-22.23,0.06
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,32396422550,159711.61,6.39,1.17,0.48,1.85,-6.64,0.03
39,SBIN,State Bank of India,BANKS,7762777042,49293.63,1.97,1.41,0.49,3.41,-11.76,0.04
40,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2406666050,92477.35,3.70,0.93,0.18,2.08,-2.18,0.03
41,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1970427941,115809.14,4.64,0.58,0.24,1.49,-8.97,0.03
42,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774407204,57974.76,2.32,1.46,0.38,3.70,-11.04,0.03
43,TATAPOWER,Tata Power Co. Ltd.,POWER,2704629398,10383.34,0.42,1.11,0.38,2.17,-4.66,0.06
44,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,16693.15,0.67,1.57,0.38,3.79,-0.24,0.04
45,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4836576095,25725.94,1.03,0.56,0.10,1.69,-17.12,0.04
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744269050,28111.80,1.13,1.02,0.37,1.60,-2.52,0.04
47,VEDL,Vedanta Ltd.,MINING,2964694239,7744.37,0.31,2.13,0.38,6.08,-1.60,0.06
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4941137420,33418.15,1.34,0.62,0.22,1.28,-7.56,0.03
49,YESBANK,Yes Bank Ltd.,BANKS,4199428360,22568.57,0.90,1.54,0.50,2.17,-7.74,0.04
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,20384.52,0.82,1.15,0.39,2.37,-11.36,0.04
,,,,,2497758.82,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2015 to 29-Feb-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2016 to 29-Feb-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Feb-2016.,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
