Annexure II- Nifty Next 50 Index : February 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,11201.21,2.31,0.99,0.26,1.95,-0.62,0.04
2,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,12472.05,2.57,1.34,0.38,3.13,-2.18,0.04
3,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,584819550,17638.10,3.64,1.40,0.35,3.92,-21.41,0.04
4,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795804810,10005.51,2.06,0.80,0.18,1.96,-13.42,0.09
5,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8258.34,1.70,0.41,0.07,1.93,-8.87,0.19
6,BANKINDIA,Bank of India,BANKS,8119131700,2028.97,0.42,1.64,0.44,3.28,-16.95,0.06
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,9209.16,1.90,1.23,0.30,2.07,-10.46,0.05
8,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,18945.81,3.91,0.63,0.06,2.94,-1.23,0.05
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,16203.48,3.34,0.73,0.16,2.21,2.48,0.04
10,CANBK,Canara Bank,BANKS,5429910540,2236.96,0.46,1.54,0.40,2.75,-18.32,0.05
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,10933.71,2.26,0.52,0.15,1.11,-4.38,0.05
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,8582.61,1.77,0.62,0.08,2.59,-2.40,0.05
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,10991.88,2.27,0.85,0.21,2.33,-12.38,0.08
14,DABUR,Dabur India Ltd.,PERSONAL CARE,1759141170,13349.77,2.75,0.63,0.16,1.86,-5.39,0.04
