Annexure II- Nifty Next 50 Index : January 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,11230.55,2.15,1.06,0.27,2.21,0.45,0.03
2,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,12651.79,2.43,1.33,0.34,2.22,1.93,0.04
3,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,583964550,22450.76,4.31,1.37,0.34,2.35,-4.76,0.03
4,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795804810,11271.80,2.16,0.80,0.17,1.79,-6.35,0.07
5,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8849.45,1.70,0.33,0.05,1.86,-10.77,0.14
6,BANKINDIA,Bank of India,BANKS,7919131700,2145.37,0.41,1.66,0.42,2.65,-12.74,0.05
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,10334.06,1.98,1.27,0.29,2.03,-6.55,0.04
8,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,19384.44,3.72,0.56,0.04,2.12,-15.63,0.05
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,15895.45,3.05,0.69,0.14,1.28,-9.33,0.03
10,CANBK,Canara Bank,BANKS,5429910540,2774.20,0.53,1.55,0.38,2.99,-16.72,0.05
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,11434.15,2.19,0.51,0.13,1.57,-11.81,0.04
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,8841.04,1.70,0.57,0.06,2.31,-9.61,0.05
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12545.02,2.41,0.83,0.20,1.25,-10.36,0.09
14,DABUR,Dabur India Ltd.,PERSONAL CARE,1759141170,14073.34,2.70,0.61,0.14,1.85,-9.50,0.04
15,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,14513.71,2.78,0.68,0.17,1.60,-1.20,0.05
16,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271540830,20260.68,3.89,1.21,0.30,2.57,-1.83,0.03
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5520.02,1.06,0.87,0.23,2.01,-17.89,0.06
18,FEDERALBNK,Federal Bank Ltd.,BANKS,3438580100,7934.52,1.52,1.15,0.29,2.42,-17.59,0.07
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6763.33,1.30,0.28,0.04,1.72,-8.86,0.10
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,6853.32,1.31,0.37,0.11,1.44,-2.34,0.10
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282158156,10810.42,2.07,1.02,0.20,2.90,-16.33,0.04
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340532966,15316.39,2.94,0.79,0.11,2.24,-7.16,0.05
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,13508.09,2.59,1.15,0.25,2.27,-2.42,0.03
24,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,841151362,21682.20,4.16,1.06,0.24,2.24,-4.04,0.05
25,IOC,Indian Oil Corporation Ltd.,REFINERIES,24279524820,19785.94,3.79,0.80,0.19,1.78,-6.13,0.04
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,11127.64,2.13,1.12,0.25,2.32,2.41,0.05
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,14335.09,2.75,1.43,0.48,2.03,-6.70,0.03
28,MRF,MRF Ltd.,TYRES,42411430,8712.26,1.67,1.19,0.39,1.71,-10.66,0.05
29,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,5674.95,1.09,0.92,0.20,2.51,-14.16,0.06
30,MARICO,Marico Ltd.,PERSONAL CARE,1290171198,11532.80,2.21,0.75,0.15,1.77,-1.99,0.05
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,1322879040,12114.20,2.32,1.33,0.26,2.67,-9.21,0.05
32,NMDC,NMDC Ltd.,MINING,3964716000,6401.61,1.23,0.81,0.18,2.42,-10.13,0.06
33,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,4957.36,0.95,0.61,0.12,1.88,-8.21,0.05
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,424116035,7911.08,1.52,0.56,0.16,1.32,-2.49,0.05
35,PETRONET,Petronet LNG Ltd.,GAS,7500000440,7368.00,1.41,0.63,0.13,2.04,-4.04,0.04
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,7443.79,1.43,1.50,0.34,3.32,-13.06,0.05
37,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2526328000,4330.85,0.83,1.68,0.41,4.02,-12.29,0.04
