Annexure II-  Nifty 50 Index : July 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,15889.96,0.50,0.69,0.29,1.33,4.50,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,21176.72,0.67,1.35,0.31,1.87,12.35,0.04
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3103794842,21047.61,0.67,0.88,0.34,0.73,6.46,0.03
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,50228.44,1.59,0.77,0.26,1.67,11.05,0.02
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585169586,21304.09,0.67,1.14,0.29,1.69,6.59,0.02
6,AXISBANK,Axis Bank Ltd.,BANKS,4770927186,91197.47,2.89,1.35,0.44,1.46,2.37,0.02
7,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,36731.56,1.16,0.91,0.33,1.01,0.40,0.03
8,BANKBARODA,Bank of Baroda,BANKS,4608319196,14331.18,0.45,1.60,0.31,2.03,-1.46,0.04
9,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,13212.88,0.42,1.40,0.32,2.12,14.25,0.03
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,14461684960,30854.58,0.98,0.78,0.18,1.27,10.55,0.02
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,47759.54,1.51,0.79,0.22,1.67,-1.29,0.03
12,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,20998.38,0.66,0.63,0.07,1.84,14.59,0.04
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,22742.85,0.72,0.90,0.28,1.30,10.28,0.03
14,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1606913166,26695.81,0.84,0.75,0.26,1.00,5.27,0.02
15,COALINDIA,Coal India Ltd.,MINING,63163644000,41435.35,1.31,0.83,0.21,1.61,4.79,0.03
16,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,37058.69,1.17,0.69,0.11,2.84,-13.20,0.02
17,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271629830,27454.67,0.87,0.91,0.23,1.67,16.85,0.02
18,GAIL,GAIL (India) Ltd.,GAS,12684774000,17916.93,0.57,1.17,0.30,1.59,-0.88,0.03
19,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,933461060,31524.89,1.00,0.63,0.34,1.06,4.90,0.03
20,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2821120228,42483.25,1.34,0.71,0.18,1.16,3.08,0.02
21,HDFCBANK,HDFC Bank Ltd.,BANKS,5058468034,249002.58,7.88,0.79,0.61,0.90,5.93,0.03
22,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,40296.63,1.27,0.87,0.36,1.03,0.78,0.02
23,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064985760,17098.29,0.54,1.86,0.42,1.72,8.71,0.03
24,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163936971,65879.22,2.08,0.53,0.17,1.23,2.67,0.02
25,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3160362590,217195.92,6.87,1.10,0.46,1.26,9.64,0.02
26,ITC,I T C Ltd.,CIGARETTES,12070810487,213309.33,6.75,0.64,0.02,1.29,2.79,0.03
