Annexure II- Nifty Next 50 Index : July 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,6700.01,1.11,0.82,0.16,1.25,3.33,0.05
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10421.10,1.72,0.67,0.16,0.90,3.53,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,13553.49,2.24,1.15,0.29,1.82,-3.15,0.04
4,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,538721900,21793.10,3.60,0.85,0.18,2.50,29.71,0.03
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795804810,16474.46,2.72,0.79,0.17,1.92,17.33,0.05
6,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2400000000,7415.40,1.23,1.15,0.36,0.99,-2.46,0.03
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,9388.68,1.55,1.22,0.34,1.45,0.09,0.03
8,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,17247.27,2.85,0.75,0.20,1.19,6.34,0.02
9,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,9390.28,1.55,0.68,0.11,2.18,11.79,0.04
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748624810,10745.77,1.78,1.56,0.34,2.87,35.93,0.05
11,CASTROLIND,Castrol India Ltd.,PETROCHEMICALS,2472805960,6345.02,1.05,0.75,0.23,1.33,16.73,0.04
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12439.03,2.06,0.41,0.11,0.99,1.62,0.03
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,12575.00,2.08,0.58,0.08,1.37,4.85,0.04
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,11825.19,1.96,0.79,0.17,1.30,2.56,0.05
15,DLF,DLF Ltd.,CONSTRUCTION,3567438824,7192.85,1.19,2.35,0.48,2.07,7.57,0.04
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1760891170,17107.41,2.83,0.63,0.15,1.05,-1.64,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,15271.88,2.53,0.63,0.14,1.10,8.01,0.04
18,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,6987.90,1.16,0.39,0.05,1.55,3.64,0.06
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7454.92,1.23,0.37,0.06,1.43,7.02,0.06
