Annexure II-  Nifty 50 Index : May 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,14387.72,0.48,0.74,0.34,1.26,5.95,0.03
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,17509.07,0.59,1.38,0.33,3.33,-19.33,0.04
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3103794842,17722.67,0.59,0.93,0.36,1.45,3.35,0.03
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,44399.30,1.49,0.87,0.30,1.19,13.69,0.03
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585169586,21138.55,0.71,1.16,0.31,2.01,3.34,0.03
6,AXISBANK,Axis Bank Ltd.,BANKS,4770927186,86029.36,2.88,1.39,0.49,1.66,9.06,0.03
7,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,35610.21,1.19,0.94,0.33,1.56,5.07,0.04
8,BANKBARODA,Bank of Baroda,BANKS,4608319196,13490.39,0.45,1.55,0.29,2.55,-9.56,0.04
9,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,10912.62,0.37,1.30,0.30,2.43,-3.91,0.04
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,25523.43,0.85,0.79,0.18,2.40,0.26,0.03
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,46354.65,1.55,0.69,0.18,1.51,-3.36,0.03
12,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,19891.11,0.67,0.62,0.06,1.57,-0.11,0.04
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,20348.97,0.68,0.95,0.31,1.80,13.65,0.04
14,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1606913166,23924.49,0.80,0.84,0.29,1.31,-11.98,0.03
15,COALINDIA,Coal India Ltd.,MINING,63163644000,36811.77,1.23,0.83,0.21,1.23,1.16,0.03
16,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,40186.53,1.35,0.74,0.15,1.64,3.06,0.03
17,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271629830,22595.89,0.76,0.98,0.25,1.54,-7.73,0.03
