Annexure II- Nifty Next 50 Index : May 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,6553.27,1.23,0.85,0.17,1.69,-4.65,0.06
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10476.19,1.97,0.71,0.18,1.57,4.34,0.04
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,15502.91,2.92,1.21,0.34,2.22,2.01,0.04
4,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,538721900,15944.19,3.00,0.83,0.19,1.64,11.12,0.03
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795804810,11011.50,2.07,0.78,0.19,1.48,-2.92,0.08
6,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2400000000,7069.50,1.33,1.17,0.38,1.63,-0.30,0.05
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,9320.20,1.76,1.25,0.34,1.44,-5.35,0.03
8,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,15909.25,3.00,0.72,0.18,2.28,-5.46,0.03
9,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,8609.68,1.62,0.72,0.13,1.46,2.69,0.04
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748624810,8164.09,1.54,1.53,0.35,2.33,-,0.04
11,CASTROLIND,Castrol India Ltd.,PETROCHEMICALS,2472805960,5377.64,1.01,0.78,0.25,2.08,-5.39,0.05
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,11479.47,2.16,0.43,0.13,0.98,2.44,0.05
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,12064.84,2.27,0.63,0.09,1.60,6.37,0.04
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,10866.24,2.05,0.78,0.17,1.90,-9.62,0.05
15,DLF,DLF Ltd.,CONSTRUCTION,3567438824,5792.63,1.09,2.29,0.46,2.41,0.31,0.05
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1760891170,16324.17,3.07,0.65,0.17,2.31,5.04,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,14009.73,2.64,0.62,0.14,1.74,4.60,0.05
18,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,6275.20,1.18,0.45,0.05,2.37,1.71,0.04
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6766.58,1.27,0.34,0.06,1.74,-2.57,0.05
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,7526.82,1.42,0.47,0.20,1.08,-4.74,0.11
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282158156,12007.95,2.26,0.92,0.21,1.13,2.62,0.03
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340533823,18681.02,3.52,0.93,0.20,2.09,12.18,0.05
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,15040.48,2.83,1.04,0.23,2.47,8.72,0.04
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,4328.84,0.82,0.98,0.21,1.61,-0.78,0.03
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,842715572,21796.16,4.11,1.21,0.29,2.12,3.64,0.04
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,24279524820,20205.42,3.81,0.75,0.19,1.50,-3.96,0.04
27,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,14774.68,2.78,0.96,0.22,1.54,1.16,0.03
28,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,14254.21,2.68,1.43,0.51,1.69,1.83,0.03
29,MARICO,Marico Ltd.,PERSONAL CARE,1290171198,12860.43,2.42,0.64,0.15,1.77,-3.82,0.05
30,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,1322879040,12807.45,2.41,1.57,0.34,2.82,12.84,0.04
31,NHPC,NHPC Ltd.,POWER,110706684960,6448.66,1.21,0.96,0.31,1.18,12.83,0.12
32,NMDC,NMDC Ltd.,MINING,3964716000,6997.72,1.32,1.03,0.21,2.11,-7.25,0.05
33,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,4839.14,0.91,0.54,0.13,1.41,5.41,0.04
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,424373320,7648.68,1.44,0.62,0.20,1.31,-3.94,0.05
35,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,512675330,10862.31,2.05,0.57,0.17,1.57,17.11,0.04
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,6914.90,1.30,1.44,0.32,2.23,-8.73,0.04
37,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,5831.50,1.10,0.34,0.08,0.95,-1.89,0.14
38,PNB,Punjab National Bank,BANKS,3927194980,5894.72,1.11,1.51,0.41,2.12,-9.14,0.05
39,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12444898725,4791.16,0.90,1.56,0.29,2.27,-16.46,0.06
40,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6165.60,1.16,1.37,0.35,1.47,-10.26,0.04
41,SHREECEM,Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,348372250,11435.28,2.15,0.79,0.16,1.98,3.44,0.09
42,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,17139.99,3.23,0.98,0.18,3.94,25.19,0.04
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,10721.00,2.02,1.37,0.57,1.37,5.84,0.04
44,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4419.66,0.83,1.51,0.38,2.75,-9.70,0.07
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,15042.20,2.83,0.61,0.12,1.19,1.29,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,6584.58,1.24,0.92,0.24,1.29,-6.19,0.04
47,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,17866.37,3.37,1.09,0.24,2.67,10.71,0.03
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4988.16,0.94,0.76,0.16,1.93,-4.80,0.05
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,12599.99,2.37,0.63,0.10,1.87,3.96,0.03
50,VEDL,Vedanta Ltd.,MINING,2964694239,11907.25,2.24,2.39,0.44,2.92,4.58,0.04
,,,,,530899.61,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-June-2015 to 31-May-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
