Annexure II- Nifty Next 50 Index : November 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,5621.4,0.92,0.61,0.09,1.08,-3.46,0.07
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,9146.3,1.5,0.55,0.1,2.37,-10.87,0.04
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,11312.36,1.86,1.18,0.27,2.26,-12.97,0.04
4,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1077443800,19325.14,3.18,1.17,0.21,4.19,-14.86,0.04
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795806445,18083.91,2.97,0.84,0.16,2.32,-12.49,0.04
6,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2400000000,8634.3,1.42,1.02,0.32,2.22,8.41,0.04
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,11147.47,1.83,1.07,0.26,2.09,2.18,0.04
8,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240001630,17833.57,2.93,0.83,0.2,1.91,-8.53,0.03
9,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,10280.94,1.69,0.73,0.1,3.07,-4.11,0.05
10,CASTROLIND,Castrol India Ltd.,PETROCHEMICALS,2472805960,9878.79,1.62,0.77,0.16,1.81,-10.92,0.04
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12443.7,2.05,0.51,0.13,1.64,-3.83,0.05
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,9809.15,1.61,0.61,0.1,2.1,-14.79,0.05
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,10714.79,1.76,0.69,0.16,1.66,-7.81,0.05
14,DLF,DLF Ltd.,CONSTRUCTION,3567955676,5128.94,0.84,2.28,0.46,5.05,-23.46,0.05
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1761520510,15983.33,2.63,0.67,0.16,1.78,-2.91,0.04
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,14959.69,2.46,0.63,0.17,1.54,-8.92,0.04
17,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,6795.48,1.12,0.4,0.05,2.67,-7.88,0.08
18,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5890.6,0.97,0.37,0.06,1.98,-17.43,0.06
19,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5747.52,0.94,0.4,0.1,1.46,-7.79,0.09
20,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282168156,13341.59,2.19,0.91,0.21,2.2,-6.35,0.04
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340600816,18363.34,3.02,1.07,0.28,2.37,-9.12,0.04
22,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,624855342,8176.42,1.34,1.1,0.26,2.87,-15.6,0.04
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,10158817500,23455.49,3.85,1.08,0.24,2.2,0.85,0.03
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,7164.45,1.18,0.92,0.15,3.29,11.92,0.04
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,846702744,23643.6,3.89,1.37,0.36,2.93,-9.72,0.05
