Annexure II-  Nifty 50 Index : October 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,14250.70,0.45,0.88,0.34,1.27,-5.13,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,27187.25,0.86,1.46,0.26,3.18,18.91,0.04
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,18601.13,0.59,0.95,0.33,1.41,-4.59,0.03
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,48497.28,1.53,0.64,0.17,1.54,-7.32,0.02
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585169586,22020.11,0.69,1.18,0.26,1.48,-4.37,0.02
6,AXISBANK,Axis Bank Ltd.,BANKS,4776106626,81525.75,2.57,1.26,0.35,2.16,-9.91,0.03
7,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,38494.15,1.21,0.89,0.31,1.38,0.10,0.03
8,BANKBARODA,Bank of Baroda,BANKS,4608319196,14704.34,0.46,1.66,0.30,1.75,-7.02,0.04
9,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,12588.01,0.40,1.52,0.28,1.39,3.19,0.03
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,14461684960,34842.54,1.10,0.71,0.13,1.37,9.25,0.02
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,42041.06,1.33,0.69,0.14,1.33,1.50,0.03
12,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,18454.57,0.58,0.61,0.07,2.03,-4.87,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,19919.77,0.63,0.86,0.24,1.08,-4.04,0.03
14,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1607220942,29300.64,0.92,0.61,0.15,1.27,-0.22,0.03
15,COALINDIA,Coal India Ltd.,MINING,63163644000,41106.90,1.30,0.69,0.15,1.15,0.96,0.03
16,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853489715,41997.70,1.32,0.74,0.11,1.31,7.00,0.02
17,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271980830,32007.53,1.01,0.87,0.19,1.48,-3.27,0.03
18,GAIL,GAIL (India) Ltd.,GAS,12684774000,20270.65,0.64,1.02,0.23,1.75,15.28,0.03
19,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,933482020,31255.08,0.99,0.74,0.25,1.17,0.33,0.04
20,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2821680788,43326.91,1.37,0.70,0.19,1.52,-4.02,0.02
21,HDFCBANK,HDFC Bank Ltd.,BANKS,5076901034,251333.76,7.93,0.78,0.55,0.91,-1.54,0.03
22,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399380176,42840.39,1.35,0.95,0.33,1.34,-1.80,0.02
23,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2065007832,19172.57,0.60,1.96,0.42,1.53,-1.93,0.03
24,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164245676,59932.18,1.89,0.59,0.17,1.10,-3.31,0.02
25,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3164952360,217986.09,6.88,1.07,0.43,1.82,-1.14,0.02
26,ITC,I T C Ltd.,CIGARETTES,12090430722,204515.68,6.45,0.94,0.28,1.03,0.12,0.03
27,ICICIBANK,ICICI Bank Ltd.,BANKS,11635133120,161175.68,5.08,1.66,0.46,2.76,9.88,0.03
28,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,36009152400,9679.26,0.31,0.74,0.08,2.58,-2.91,0.04
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5964716540,59161.04,1.87,0.96,0.42,1.07,-0.08,0.03
30,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320,200253.84,6.32,0.84,0.26,1.16,-3.28,0.02
31,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9179988890,94807.16,2.99,0.91,0.41,1.11,5.49,0.03
32,LT,Larsen & Toubro Ltd.,ENGINEERING,1863945430,120990.56,3.82,1.41,0.45,1.26,2.94,0.04
33,LUPIN,Lupin Ltd.,PHARMACEUTICALS,901962150,36288.01,1.14,0.77,0.13,1.38,2.15,0.03
34,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,61348.40,1.94,0.91,0.28,1.41,-6.31,0.02
35,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,78368.81,2.47,1.08,0.35,1.04,7.65,0.01
36,NTPC,NTPC Ltd.,POWER,82454644000,37364.32,1.18,0.84,0.26,0.99,2.06,0.03
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,51959.20,1.64,1.03,0.25,1.81,12.68,0.02
38,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,38463.17,1.21,0.73,0.23,1.14,-0.85,0.03
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32429503780,173858.46,5.48,0.94,0.36,1.35,-3.00,0.02
40,SBIN,State Bank of India,BANKS,7762777042,79987.65,2.52,1.67,0.44,1.28,2.53,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2406753959,81022.17,2.56,0.80,0.20,1.02,0.73,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1970427941,127207.58,4.01,0.73,0.25,0.93,-1.64,0.02
43,TATAMTRDVR,Tata Motors Ltd DVR,AUTOMOBILES - 4 WHEELERS,1016953408,17409.81,0.55,1.42,0.31,2.20,1.57,0.04
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774407204,102901.81,3.25,1.73,0.41,1.97,-0.54,0.03
45,TATAPOWER,Tata Power Co. Ltd.,POWER,2704629398,14152.51,0.45,1.01,0.30,1.70,3.58,0.04
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,27120.51,0.86,1.56,0.33,1.98,8.14,0.03
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4858201210,27342.73,0.86,0.96,0.26,1.97,4.73,0.02
48,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744424080,41342.42,1.30,0.94,0.34,1.09,2.93,0.02
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4941562572,29833.20,0.94,0.57,0.19,1.29,-3.04,0.02
50,YESBANK,Yes Bank Ltd.,BANKS,4212165470,41605.79,1.31,1.35,0.40,1.31,0.93,0.03
51,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,28382.84,0.90,1.06,0.27,2.70,-5.18,0.03
,,,,,3170199.69,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-November-2015 to 30-October-2016,,,,,,,,,,,
,,,,,,,,,,,
