Annexure II-  Nifty 50 Index : September 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,15021.57,0.47,0.84,0.32,1.68,-6.43,0.03
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,22863.83,0.72,1.38,0.26,2.23,-2.36,0.03
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,19495.56,0.62,0.89,0.3,1.56,-9.43,0.03
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,52327.02,1.65,0.64,0.17,1.29,0.24,0.02
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585169586,23026.83,0.73,1.1,0.22,2.37,8.17,0.02
6,AXISBANK,Axis Bank Ltd.,BANKS,4776106626,90494.09,2.86,1.26,0.35,2.41,-9.3,0.02
7,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,38456.07,1.22,0.89,0.31,1.46,-5.07,0.03
8,BANKBARODA,Bank of Baroda,BANKS,4608319196,15814.37,0.5,1.63,0.29,2.57,2.73,0.04
9,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,12198.59,0.39,1.51,0.27,4.27,-3.16,0.04
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,14461684960,31893.22,1.01,0.74,0.14,1.68,1.66,0.02
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,41421.06,1.31,0.68,0.14,1.9,-5.32,0.04
12,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,19399.87,0.61,0.65,0.07,1.82,4.15,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,20758.99,0.66,0.9,0.25,1.29,-5.67,0.03
14,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1607220942,29366.46,0.93,0.61,0.14,1.44,1.24,0.02
15,COALINDIA,Coal India Ltd.,MINING,63163644000,40715.28,1.29,0.7,0.14,0.96,-3.36,0.03
16,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853489715,39251.58,1.24,0.72,0.1,0.83,0.57,0.03
17,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,271980830,33088.16,1.05,0.85,0.18,1.84,9.13,0.02
18,GAIL,GAIL (India) Ltd.,GAS,12684774000,17583.7,0.56,1.05,0.24,1.62,-2.41,0.03
19,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,933482020,31152.34,0.98,0.73,0.25,1.64,3.57,0.03
20,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2821680788,45141.25,1.43,0.65,0.12,0.73,2.74,0.01
21,HDFCBANK,HDFC Bank Ltd.,BANKS,5076901034,255254.27,8.07,0.77,0.54,0.79,-1.42,0.03
22,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399380176,43627.65,1.38,0.99,0.35,1.53,-3.6,0.02
23,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2065007832,19550.26,0.62,1.95,0.39,3.04,-4.11,0.03
24,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164245676,61981.94,1.96,0.59,0.17,1.14,-5.37,0.02
25,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3164952360,220510.14,6.97,1.06,0.43,1.08,-0.85,0.02
26,ITC,I T C Ltd.,CIGARETTES,12090430722,204261.78,6.45,0.97,0.28,1.19,-7.19,0.03
27,ICICIBANK,ICICI Bank Ltd.,BANKS,11635133120,146689.94,4.63,1.67,0.5,1.88,-2.27,0.03
28,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,36009152400,9969.13,0.31,0.72,0.07,2.68,-15.36,0.04
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5964716540,59208.07,1.87,0.95,0.42,1.47,0.82,0.03
30,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320,207038.21,6.54,0.87,0.27,0.95,0.02,0.02
31,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9179988890,89873.93,2.84,0.92,0.4,0.84,-3.71,0.02
32,LT,Larsen & Toubro Ltd.,ENGINEERING,1863945430,117537.79,3.71,1.43,0.45,1.28,-5.27,0.03
33,LUPIN,Lupin Ltd.,PHARMACEUTICALS,901962150,35524.34,1.12,0.73,0.11,1.41,0.27,0.02
34,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,65480.22,2.07,0.89,0.28,1.29,-2.15,0.02
35,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,72801.66,2.3,1.03,0.3,1.42,8.38,0.02
36,NTPC,NTPC Ltd.,POWER,82454644000,36609.86,1.16,0.86,0.26,1.55,-7.06,0.04
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,46111.1,1.46,1.12,0.28,1.7,8.61,0.03
38,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,38792.76,1.23,0.72,0.23,1.38,-3.89,0.03
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32429503780,179233.65,5.66,0.94,0.34,1.26,2.24,0.02
40,SBIN,State Bank of India,BANKS,7762777042,78015.91,2.47,1.68,0.44,1.8,-0.5,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2406753959,80437.33,2.54,0.78,0.18,1.45,-4.25,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1970427941,129322.34,4.09,0.74,0.24,1.48,-3.21,0.02
43,TATAMTRDVR,Tata Motors Ltd DVR,AUTOMOBILES - 4 WHEELERS,1016953408,17140.5,0.54,1.47,0.32,2.09,-0.89,0.04
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774407204,103462.8,3.27,1.78,0.41,2.24,-0.53,0.02
45,TATAPOWER,Tata Power Co. Ltd.,POWER,2704629398,13663.25,0.43,0.99,0.29,1.61,-3.95,0.04
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,25079.94,0.79,1.57,0.32,2.21,1.12,0.02
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4858201210,26108.36,0.82,0.91,0.25,1.22,-10.44,0.03
48,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744424080,40167.09,1.27,0.92,0.31,1.42,-4.4,0.02
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4941562572,30767.9,0.97,0.54,0.18,0.91,-2.58,0.02
50,YESBANK,Yes Bank Ltd.,BANKS,4212165470,41223.03,1.3,1.33,0.38,2.9,-8.15,0.03
51,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,29932.14,0.95,1.02,0.26,1.36,1.34,0.02
,,,,,3164847.13,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-October-2015 to 30-September-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-September-2016 to 30-September-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-September-2016,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
