Annexure II- Nifty Next 50 Index : September 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,6049.45,0.97,0.74,0.11,1.08,-1.43,0.07
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,10049.98,1.61,0.59,0.12,1.48,-2.71,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,11326.59,1.81,1.12,0.24,2.81,-9.08,0.04
4,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1077443800,22184.62,3.55,0.88,0.14,2.39,-4.11,0.05
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795804810,18565.00,2.97,0.71,0.12,2.23,3.45,0.04
6,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2400000000,7468.50,1.19,1.00,0.29,1.23,1.99,0.03
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,11237.54,1.80,1.14,0.26,1.84,7.12,0.03
8,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,239951630,19776.33,3.16,0.78,0.17,1.60,-2.79,0.02
9,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,9925.18,1.59,0.61,0.08,1.42,1.81,0.04
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748624810,11251.99,1.80,1.47,0.29,1.89,0.45,0.05
11,CASTROLIND,Castrol India Ltd.,PETROCHEMICALS,2472805960,9395.67,1.50,0.63,0.11,3.11,6.24,0.04
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12936.14,2.07,0.44,0.10,0.82,2.35,0.03
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,11564.74,1.85,0.54,0.07,1.19,-1.09,0.03
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12299.23,1.97,0.63,0.13,1.03,-1.62,0.05
15,DLF,DLF Ltd.,CONSTRUCTION,3567810040,6517.94,1.04,2.14,0.44,3.63,-5.62,0.05
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1761492970,15286.94,2.44,0.58,0.12,1.04,-6.68,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,16448.01,2.63,0.55,0.11,0.88,-2.40,0.04
18,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,7169.29,1.15,0.31,0.03,1.85,2.02,0.07
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7105.78,1.14,0.27,0.03,0.97,-3.78,0.06
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5888.87,0.94,0.48,0.15,1.20,-8.34,0.06
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282168156,14070.68,2.25,0.84,0.17,2.10,9.79,0.03
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340600816,19995.33,3.20,1.02,0.23,1.73,4.61,0.04
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,10158817500,21103.47,3.37,1.09,0.22,1.62,4.36,0.03
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,5915.87,0.95,0.91,0.15,1.83,2.80,0.03
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,843791712,25133.52,4.02,1.30,0.29,2.19,1.00,0.03
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,24279524820,29699.93,4.75,0.86,0.21,1.32,1.23,0.02
27,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3612038060,3638.30,0.58,0.69,0.04,1.30,3.75,0.03
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,18392.97,2.94,0.67,0.12,2.18,-1.35,0.02
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,17525.94,2.80,1.33,0.43,1.99,1.00,0.02
30,MARICO,Marico Ltd.,PERSONAL CARE,1290171198,14217.69,2.27,0.54,0.10,1.70,-5.49,0.04
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,1322879040,14302.97,2.29,1.60,0.29,2.08,-1.41,0.03
