Annexure II-  Nifty 50 Index : April 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,13745.04,0.39,1.16,0.35,1.87,12.48,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,26467.38,0.76,1.64,0.27,2.23,-3.50,0.04
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,18066.00,0.52,1.36,0.41,1.30,3.91,0.03
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,50512.46,1.45,0.96,0.22,1.21,4.37,0.02
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585169586,17042.48,0.49,1.22,0.23,1.24,-10.14,0.02
6,AXISBANK,Axis Bank Ltd.,BANKS,4783550966,86546.75,2.49,1.26,0.28,1.53,3.84,0.03
7,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,38951.12,1.12,0.88,0.28,0.79,2.09,0.03
8,BANKBARODA,Bank of Baroda,BANKS,4608319196,17717.95,0.51,1.41,0.20,1.75,8.44,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,14461684960,37445.64,1.08,0.87,0.14,1.82,10.68,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,46895.50,1.35,0.78,0.12,1.26,1.56,0.03
11,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,18369.57,0.53,0.52,0.03,2.48,8.84,0.02
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,21051.62,0.60,1.13,0.29,1.06,1.06,0.03
13,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1608943482,28252.52,0.81,0.47,0.06,0.66,-5.99,0.02
14,COALINDIA,Coal India Ltd.,MINING,62074091770,36062.87,1.04,0.60,0.10,1.06,-5.47,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,828663700,31445.79,0.90,0.53,0.07,1.31,-1.26,0.02
16,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272102490,34756.52,1.00,1.09,0.21,1.03,1.88,0.02
