Annexure II-  Nifty 50 Index : August 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,15212.87,0.41,1.18,0.30,1.18,3.87,0.03
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,31737.44,0.85,1.86,0.38,1.95,-0.75,0.03
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,20597.00,0.55,1.36,0.37,1.37,6.54,0.03
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,52680.92,1.40,1.00,0.23,0.80,0.59,0.02
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585882409,20395.74,0.54,1.31,0.18,2.08,0.93,0.02
6,AXISBANK,Axis Bank Ltd.,BANKS,4793137128,85137.74,2.27,1.30,0.27,1.06,-3.74,0.02
7,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,38277.90,1.02,0.87,0.26,1.18,0.21,0.03
8,BANKBARODA,Bank of Baroda,BANKS,4608319196,13022.76,0.35,1.61,0.24,1.98,-16.98,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,41311.25,1.10,0.95,0.16,2.21,12.28,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,56419.70,1.50,0.79,0.11,1.02,2.09,0.03
11,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,26370.97,0.70,0.63,0.04,1.66,-6.53,0.02
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,20131.60,0.54,1.16,0.29,1.56,-9.06,0.03
13,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1609099350,28987.68,0.77,0.69,0.11,2.08,2.11,0.03
14,COALINDIA,Coal India Ltd.,MINING,62074091770,30946.42,0.83,0.78,0.15,1.81,-4.70,0.03
