Annexure II- Nifty Next 50 Index : August 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,7100.52,1.00,0.55,0.05,0.97,-5.68,0.06
2,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,15239.67,2.15,1.42,0.25,1.89,-2.19,0.03
3,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1099780180,38214.12,5.40,1.94,0.34,2.52,4.63,0.03
4,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795806445,33281.95,4.70,1.41,0.23,2.19,10.24,0.04
5,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2233627930,13580.46,1.92,1.06,0.20,2.12,6.29,0.03
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,11673.34,1.65,1.33,0.19,1.85,-11.16,0.04
7,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240001630,24878.15,3.51,0.87,0.20,1.50,7.89,0.02
8,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,12796.78,1.81,1.05,0.09,2.77,-8.03,0.04
9,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,14827.28,2.09,0.45,0.07,1.33,3.06,0.04
10,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,2437177390,14475.74,2.04,0.58,0.06,2.04,15.39,0.04
11,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12395.66,1.75,0.85,0.12,2.09,-7.61,0.05
12,DLF,DLF Ltd.,CONSTRUCTION,3568012840,8253.26,1.17,2.41,0.28,4.85,-4.29,0.05
13,DABUR,Dabur India Ltd.,PERSONAL CARE,1761520510,17761.76,2.51,0.73,0.16,1.71,1.65,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,8873.87,1.25,1.00,0.06,2.27,3.49,0.04
15,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,6660.05,0.94,0.93,0.12,1.90,-1.92,0.07
16,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6325.06,0.89,0.51,0.10,0.95,-1.80,0.07
17,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5085.78,0.72,0.09,0.00,0.91,0.03,0.09
18,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282168156,9109.04,1.29,0.98,0.12,1.85,-12.62,0.03
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,681201632,23422.51,3.31,1.14,0.18,2.61,-10.41,0.03
20,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,624855342,11595.63,1.64,1.36,0.23,2.26,3.29,0.04
21,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250,36463.78,5.15,1.36,0.18,3.12,27.44,0.03
22,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,7467.41,1.05,1.25,0.16,1.82,4.12,0.03
23,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14353507100,7965.77,1.13,0.67,0.07,1.54,-6.98,0.03
24,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,36058077110,12420.93,1.75,0.85,0.04,1.66,-1.95,0.04
25,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3614683630,5771.89,0.82,0.27,0.01,1.84,-4.84,0.04
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,26442.46,3.74,1.64,0.34,2.03,14.98,0.03
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,20404.03,2.88,1.63,0.39,1.33,-2.40,0.02
28,MARICO,Marico Ltd.,PERSONAL CARE,1290471198,16283.17,2.30,1.02,0.24,1.20,-5.75,0.02
29,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,2105289491,23999.67,3.39,1.56,0.35,1.75,-5.20,0.04
30,NHPC,NHPC Ltd.,POWER,102593205190,6258.70,0.88,1.06,0.16,1.41,-4.28,0.09
31,NMDC,NMDC Ltd.,MINING,3163890474,10017.67,1.42,1.48,0.24,1.90,-0.08,0.05
32,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,7566026070,5177.89,0.73,0.55,0.08,1.62,-0.82,0.05
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,426394815,7586.11,1.07,0.61,0.11,1.28,-5.56,0.05
