Annexure II- Nifty Next 50 Index : December 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,7432.16,0.99,0.64,0.04,1.20,0.29,0.07
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,14859.22,1.99,1.16,0.22,0.99,5.43,0.02
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2927104101,17082.29,2.28,1.33,0.17,1.68,1.06,0.03
4,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6240844860,8109.88,1.08,0.91,0.05,1.29,5.66,0.04
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795675485,31628.93,4.23,1.36,0.19,1.06,0.31,0.04
6,BANKBARODA,Bank of Baroda,BANKS,4608319196,15176.69,2.03,2.02,0.17,1.20,-5.00,0.03
7,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2456990723,14321.31,1.91,1.22,0.18,1.28,-1.96,0.03
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,7342800000,12565.37,1.68,1.32,0.17,0.85,0.54,0.04
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240118296,27704.04,3.70,0.65,0.10,1.17,-2.21,0.03
10,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,11094.81,1.48,0.97,0.06,1.12,1.11,0.04
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,14660.03,1.96,0.36,0.03,0.86,6.11,0.05
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,2437177390,15127.74,2.02,0.81,0.08,1.06,5.45,0.04
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12250.33,1.64,0.69,0.06,1.55,3.95,0.04
14,DLF,DLF Ltd.,CONSTRUCTION,3568120260,11567.40,1.55,2.10,0.19,2.31,11.19,0.03
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1761520510,19712.12,2.63,0.64,0.09,0.95,1.57,0.03
16,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,8151.63,1.09,0.78,0.08,1.05,1.45,0.06
17,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7698.86,1.03,0.26,0.02,0.98,7.42,0.07
18,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5271.28,0.70,0.27,0.03,1.04,0.27,0.08
19,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282168156,8894.43,1.19,0.69,0.05,1.24,5.43,0.03
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,681329518,25195.33,3.37,0.88,0.08,1.15,3.95,0.04
21,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,625148473,13361.36,1.79,0.92,0.10,1.35,10.44,0.03
22,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,7829.94,1.05,1.47,0.20,1.37,3.16,0.04
23,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14354679600,10462.26,1.40,0.60,0.04,1.28,2.03,0.05
24,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,36073875550,14825.28,1.98,0.95,0.03,2.13,14.51,0.05
