Annexure II-  Nifty 50 Index : January 2018,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,32860.72,0.77,1.41,0.21,1.88,5.72,0.03
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,19234.15,0.45,0.92,0.16,1.19,-3.77,0.03
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,50866.35,1.20,0.84,0.16,1.08,-2.61,0.02
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585882409,17704.43,0.42,1.17,0.10,1.27,-8.49,0.02
5,AXISBANK,Axis Bank Ltd.,BANKS,5128223384,94367.52,2.22,1.13,0.15,1.45,5.26,0.03
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,45386.07,1.07,0.90,0.21,0.94,0.11,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1153034616,39659.69,0.93,1.38,0.18,1.65,-4.49,0.02
8,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,38445.23,0.90,1.00,0.11,1.48,-4.91,0.02
9,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,58022.46,1.36,1.09,0.11,1.98,-16.95,0.02
10,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,27309.65,0.64,0.78,0.05,1.92,-7.18,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,17763.30,0.42,0.89,0.14,0.83,-3.80,0.03
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1609889380,30028.82,0.71,0.71,0.07,1.17,-2.69,0.03
13,COALINDIA,Coal India Ltd.,MINING,62074091770,39048.02,0.92,0.63,0.06,2.07,13.92,0.03
