Annexure II- Nifty Next 50 Index : January 2018,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,8758.17,1.18,0.72,0.06,1.79,17.84,0.07
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,14494.59,1.96,1.04,0.17,1.14,-2.45,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2927104101,18086.28,2.44,1.41,0.19,1.73,5.88,0.03
4,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6240844860,8098.21,1.09,0.87,0.05,1.74,-0.14,0.05
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795675485,29100.92,3.93,1.34,0.19,1.04,-7.99,0.04
6,BANKBARODA,Bank of Baroda,BANKS,4608319196,14812.98,2.00,2.03,0.16,2.78,-2.40,0.04
7,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2456990723,13314.92,1.80,1.21,0.18,1.53,-7.03,0.03
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,7342800000,13611.35,1.84,1.27,0.15,2.15,8.32,0.04
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240118296,27556.38,3.72,0.65,0.10,1.11,-0.53,0.03
10,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,10897.74,1.47,0.94,0.05,1.22,-1.78,0.04
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,14944.56,2.02,0.42,0.04,0.90,1.94,0.04
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,2437177390,15247.83,2.06,0.77,0.07,2.06,0.79,0.04
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12277.49,1.66,0.58,0.04,1.50,0.22,0.04
