Annexure II- Nifty Next 50 Index : March 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,6780.54,1.04,0.55,0.07,1.47,6.82,0.05
2,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,12030.94,1.85,0.97,0.15,1.43,-6.73,0.03
3,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1095944100,24385.74,3.75,1.44,0.22,1.56,5.68,0.03
4,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795806445,24787.65,3.82,0.95,0.13,1.43,4.71,0.04
5,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2233627930,10853.76,1.67,0.90,0.20,1.92,3.42,0.04
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,14747.89,2.27,1.36,0.22,1.35,0.25,0.03
7,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240001630,19839.25,3.05,0.81,0.16,1.00,4.48,0.03
8,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,11312.36,1.74,0.74,0.06,1.19,0.40,0.04
9,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,13267.32,2.04,0.45,0.09,0.90,10.58,0.03
10,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,11175.24,1.72,0.47,0.06,0.79,4.75,0.04
11,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,12896.19,1.99,0.70,0.13,1.03,6.93,0.03
12,DLF,DLF Ltd.,CONSTRUCTION,3567993844,6629.78,1.02,2.13,0.35,2.14,-1.20,0.04
13,DABUR,Dabur India Ltd.,PERSONAL CARE,1761520510,15633.85,2.41,0.59,0.10,0.77,0.16,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,7949.40,1.22,0.77,0.05,4.34,-17.79,0.03
15,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,6522.47,1.00,0.68,0.08,1.47,2.30,0.05
16,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6071.53,0.93,0.43,0.06,1.31,1.15,0.05
17,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5811.79,0.89,0.23,0.03,0.55,2.28,0.07
18,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282168156,12983.52,2.00,0.81,0.18,0.97,-7.93,0.03
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340600816,21063.37,3.24,1.16,0.28,1.30,1.36,0.04
20,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,624855342,11059.00,1.70,1.06,0.19,1.05,14.69,0.03
21,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,10158817500,26165.91,4.03,1.23,0.23,1.51,-2.25,0.02
22,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,7321.63,1.13,1.02,0.12,3.10,-6.34,0.02
23,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14353240100,7135.28,1.10,0.81,0.15,1.06,5.83,0.03
24,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,36016892650,10512.97,1.62,0.87,0.05,3.34,-25.90,0.04
25,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3614683630,4940.62,0.76,0.31,0.02,1.70,22.70,0.04
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,19561.60,3.01,1.14,0.26,2.00,0.67,0.04
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,18726.53,2.88,1.56,0.42,1.06,10.28,0.02
28,MARICO,Marico Ltd.,PERSONAL CARE,1290371198,15218.64,2.34,0.81,0.17,1.18,4.85,0.03
29,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,1403526327,19312.94,2.97,1.65,0.34,1.38,6.20,0.03
30,NHPC,NHPC Ltd.,POWER,110707000000,7485.99,1.15,0.88,0.14,1.26,5.57,0.09
31,NMDC,NMDC Ltd.,MINING,3163890474,10527.85,1.62,1.09,0.16,1.46,-11.41,0.04
32,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,8020000000,6421.09,0.99,0.47,0.08,1.26,2.05,0.03
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,425291580,8438.59,1.30,0.42,0.07,1.23,2.03,0.05
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,12094.50,1.86,0.97,0.15,1.44,-0.85,0.03
35,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,512675330,10753.11,1.66,0.91,0.25,1.03,2.49,0.03
36,PEL,Piramal Enterprises Ltd.,PHARMACEUTICALS,345126200,15434.62,2.38,0.73,0.07,1.16,3.16,0.05
37,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,26400814080,12711.20,1.96,1.26,0.22,1.80,7.28,0.03
38,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,7146.96,1.10,0.22,0.02,1.29,7.05,0.12
39,PNB,Punjab National Bank,BANKS,4255936516,11164.39,1.72,1.61,0.24,2.02,6.01,0.04
40,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,19749180000,14655.87,2.26,1.49,0.31,1.92,18.57,0.03
41,SHREECEM,Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,348372250,14878.28,2.29,0.90,0.15,1.30,6.03,0.05
42,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,15653.09,2.41,1.34,0.21,2.26,16.01,0.03
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,11175.05,1.72,0.95,0.27,1.19,3.96,0.03
44,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,6330.03,0.97,1.57,0.29,2.07,0.16,0.05
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,19308.68,2.97,1.12,0.23,1.42,5.84,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,7619.32,1.17,0.75,0.11,1.84,14.00,0.04
47,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1013901716,26532.19,4.08,0.95,0.14,1.21,1.20,0.03
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5298.89,0.82,0.55,0.08,0.61,-0.87,0.05
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,11093.15,1.71,0.85,0.13,1.29,-7.27,0.03
50,VEDL,Vedanta Ltd.,MINING,2964694239,30160.28,4.64,1.93,0.32,1.67,6.12,0.02
,,,,,649580.86,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-April-2016 to 31-March-2017,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-March-2016 to 31-March-2017,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-March-2017,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
