Annexure II-  Nifty 50 Index : November 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,31321.07,0.80,1.62,0.28,1.53,-7.52,0.03
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,19285.58,0.49,1.13,0.24,1.09,-6.75,0.03
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,51698.12,1.31,0.83,0.16,1.24,-2.89,0.02
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585882409,19484.57,0.49,1.17,0.11,2.15,-8.84,0.02
5,AXISBANK,Axis Bank Ltd.,BANKS,4795250548,91141.89,2.32,1.17,0.16,1.49,2.34,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,44955.63,1.14,0.79,0.18,0.97,1.49,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1153034616,40822.64,1.04,1.50,0.20,1.32,-4.08,0.02
8,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,39347.21,1.00,1.15,0.16,1.13,-6.97,0.02
9,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,65488.81,1.66,0.90,0.09,2.32,-0.15,0.02
10,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,26968.40,0.69,0.82,0.05,2.07,-13.22,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,18618.03,0.47,1.02,0.18,1.80,-3.23,0.03
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1609370694,30462.73,0.77,0.72,0.08,1.97,-4.25,0.03
13,COALINDIA,Coal India Ltd.,MINING,62074091770,35952.07,0.91,0.77,0.10,1.26,-3.72,0.03
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,829284640,27654.26,0.70,0.59,0.04,1.67,-5.93,0.03
15,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272225490,39942.52,1.01,0.89,0.12,1.14,-7.10,0.02
16,GAIL,GAIL (India) Ltd.,GAS,16913032000,30103.84,0.76,0.84,0.10,1.30,0.69,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2784052928,47217.54,1.20,0.25,0.02,1.28,-0.91,0.02
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5162785834,378025.12,9.60,0.72,0.26,0.50,2.50,0.02
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399393676,47165.85,1.20,0.93,0.21,0.88,-5.62,0.02
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2243609879,35065.94,0.89,1.95,0.33,1.50,-10.08,0.02
21,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250,31113.87,0.79,1.41,0.14,1.40,-6.81,0.02
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164477780,90888.26,2.31,0.80,0.18,0.98,2.83,0.02
23,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3188849520,267177.76,6.79,0.99,0.22,1.27,-1.86,0.01
24,ITC,I T C Ltd.,CIGARETTES,12180306282,218313.72,5.55,1.19,0.18,0.95,-3.63,0.03
25,ICICIBANK,ICICI Bank Ltd.,BANKS,12833149044,197341.75,5.01,1.48,0.24,1.57,2.48,0.02
26,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,848762280,38892.24,0.99,1.11,0.13,1.47,-3.07,0.02
