Annexure II-  Nifty 50 Index : June 2018,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,26274.37,0.62,1.39,0.31,1.34,-4.84508479,0.03
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,57004.31,1.35,0.70,0.15,0.91,-3.08128617,0.02
3,AXISBANK,Axis Bank Ltd.,BANKS,5135809672,87882.95,2.08,1.22,0.20,1.17,-6.42974904,0.02
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,38220.78,0.90,1.06,0.30,1.65,2.18158019,0.02
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776,54415.93,1.29,1.15,0.16,1.67,8.8369117,0.01
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795675485,35200.97,0.83,1.24,0.24,1.46,-3.66006041,0.03
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,29152.15,0.69,1.15,0.14,2.43,-7.58757272,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000535,50384.63,1.19,1.05,0.12,1.78,2.23501071,0.03
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,25571.39,0.60,0.62,0.05,1.23,0.63619622,0.03
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1610280502,31278.85,0.74,0.88,0.12,1.69,17.50190549,0.02
11,COALINDIA,Coal India Ltd.,MINING,62074091770,34459.50,0.81,0.70,0.09,1.25,-10.76793249,0.03
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,829866140,27079.97,0.64,0.73,0.06,2.15,15.41102964,0.02
13,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272663000,38977.79,0.92,0.87,0.14,1.29,-7.11550926,0.02
14,GAIL,GAIL (India) Ltd.,GAS,22550709330,29924.23,0.71,0.92,0.11,2.06,-3.03505272,0.02
15,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1314880046,39716.61,0.94,1.08,0.12,1.18,-3.16887863,0.02
16,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2784773728,51587.93,1.22,0.41,0.03,1.27,1.74658099,0.02
17,HDFCBANK,HDFC Bank Ltd.,BANKS,5206599334,433625.25,10.25,0.77,0.29,0.99,-1.44897053,0.02
18,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399422910,45090.35,1.07,0.79,0.20,0.89,-2.01416119,0.01
19,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245051892,33636.49,0.80,1.71,0.29,1.98,-1.57984629,0.03
