Annexure II- Nifty Next 50 Index : June 2018,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,6243.35,0.93,0.77,0.14,1.97,-4.33088444,0.08
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,11322.72,1.68,1.05,0.23,1.79,-1.0851912,0.02
3,ABCAPITAL,Aditya Birla Capital Ltd.,FINANCE,22012175080,7330.05,1.09,0.92,0.11,1.66,-9.20245399,0.05
4,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,15241.12,2.26,0.99,0.21,1.73,0.99805258,0.03
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2935127276,18092.71,2.69,1.01,0.11,1.77,-15.02870652,0.03
6,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585907609,17073.82,2.54,1.13,0.16,1.98,9.13176344,0.02
7,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6240844860,14832.24,2.20,1.39,0.20,1.99,-5.51792132,0.04
8,BANKBARODA,Bank of Baroda,BANKS,5291032264,10728.63,1.59,1.92,0.17,1.82,-17.68359518,0.04
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2436592943,8736.28,1.30,1.23,0.19,2.24,-5.02622378,0.04
10,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,7342800000,9746.65,1.45,1.44,0.25,2.26,-14.22594142,0.04
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,16032.50,2.38,0.65,0.09,1.68,-4.66884443,0.05
12,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240118296,36554.86,5.43,0.61,0.12,1.11,4.89200618,0.03
13,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,9659.01,1.44,0.99,0.13,1.84,4.45613064,0.04
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,15790.85,2.35,0.42,0.06,0.97,-5.94189093,0.03
15,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,2437177390,14306.84,2.13,0.87,0.12,2.34,-5.40589536,0.05
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,8796.90,1.31,0.71,0.09,1.16,-7.65666215,0.05
17,DLF,DLF Ltd.,CONSTRUCTION,3568176696,8420.90,1.25,2.04,0.28,1.76,-10.05240591,0.03
18,DABUR,Dabur India Ltd.,PERSONAL CARE,1766264421,22124.93,3.29,0.57,0.10,0.95,2.12627185,0.02
19,EMAMILTD,Emami Ltd.,PERSONAL CARE,453935238,6485.40,0.96,0.60,0.07,1.86,1.17590822,0.08
20,GICRE,General Insurance Corporation of India,FINANCE,4386000000,8999.98,1.34,0.12,0.00,1.03,1.14553861,0.07
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,681329518,30898.91,4.59,0.52,0.05,1.30,7.59777027,0.03
22,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,625472910,13594.03,2.02,1.08,0.17,1.59,-0.14701829,0.03
23,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,6959.10,1.03,1.28,0.25,1.61,-7.37303864,0.03
24,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14355550350,11374.33,1.69,0.88,0.10,1.43,-10.69822485,0.04
