Sr. No,Security Symbol,Security Name,Industry,Equity,Free Float Market Capitalisation for May 2018,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2018
1,ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING,-,6526,0.95,-,-,-,-,-
2,ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,-,11447,1.66,-,-,-,-,-
3,ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,-,8072,1.17,-,-,-,-,-
4,AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,-,15091,2.19,-,-,-,-,-
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,-,21235,3.08,-,-,-,-,-
6,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,-,15644,2.27,-,-,-,-,-
7,DMART,Avenue Supermarts Ltd.,CONSUMER GOODS,-,10793,1.57,-,-,-,-,-
8,BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,-,13033,1.89,-,-,-,-,-
9,BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,-,9276,1.35,-,-,-,-,-
10,BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,-,11363,1.65,-,-,-,-,-
11,BOSCHLTD,Bosch Ltd.,AUTOMOBILE,-,16818,2.44,-,-,-,-,-
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,-,34850,5.06,-,-,-,-,-
13,CADILAHC,Cadila Healthcare Ltd.,PHARMA,-,9247,1.34,-,-,-,-,-
14,COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,-,16788,2.44,-,-,-,-,-
15,CONCOR,Container Corporation of India Ltd.,SERVICES,-,15124,2.2,-,-,-,-,-
16,CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,-,9526,1.38,-,-,-,-,-
17,DLF,DLF Ltd.,CONSTRUCTION,-,9362,1.36,-,-,-,-,-
18,DABUR,Dabur India Ltd.,CONSUMER GOODS,-,21606,3.14,-,-,-,-,-
19,EMAMILTD,Emami Ltd.,CONSUMER GOODS,-,6410,0.93,-,-,-,-,-
20,GICRE,"General Insurance Corporation of
India",FINANCIAL SERVICES,-,8898,1.29,-,-,-,-,-
21,GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS,-,28717,4.17,-,-,-,-,-
22,HAVELLS,Havells India Ltd.,CONSUMER GOODS,-,12927,1.88,-,-,-,-,-
23,HINDZINC,Hindustan Zinc Ltd.,METALS,-,7513,1.09,-,-,-,-,-
24,ICICIPRULI,"ICICI Prudential Life Insurance
Company Ltd.",FINANCIAL SERVICES,-,11523,1.67,-,-,-,-,-
25,IDEA,Idea Cellular Ltd.,TELECOM,-,10991,1.6,-,-,-,-,-
26,INDIGO,InterGlobe Aviation Ltd.,SERVICES,-,11249,1.63,-,-,-,-,-
27,JSWSTEEL,JSW Steel Ltd.,METALS,-,34498,5.01,-,-,-,-,-
28,L&TFH,L&T Finance Holdings Ltd.,FINANCIAL SERVICES,-,10508,1.53,-,-,-,-,-
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES,-,14387,2.09,-,-,-,-,-
30,MRF,MRF Ltd.,AUTOMOBILE,-,18630,2.7,-,-,-,-,-
31,MARICO,Marico Ltd.,CONSUMER GOODS,-,16617,2.41,-,-,-,-,-
32,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTOMOBILE,-,24812,3.6,-,-,-,-,-
33,NHPC,NHPC Ltd.,ENERGY,-,5981,0.87,-,-,-,-,-
34,NMDC,NMDC Ltd.,METALS,-,10405,1.51,-,-,-,-,-
35,OIL,Oil India Ltd.,ENERGY,-,5879,0.85,-,-,-,-,-
36,OFSS,"Oracle Financial Services Software
Ltd.",IT,-,8755,1.27,-,-,-,-,-
37,PETRONET,Petronet LNG Ltd.,ENERGY,-,16474,2.39,-,-,-,-,-
38,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS,-,17809,2.58,-,-,-,-,-
39,PEL,Piramal Enterprises Ltd.,PHARMA,-,20524,2.98,-,-,-,-,-
40,PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES,-,7230,1.05,-,-,-,-,-
41,PGHH,"Procter & Gamble Hygiene & Health
Care Ltd.",CONSUMER GOODS,-,8756,1.27,-,-,-,-,-
42,PNB,Punjab National Bank,FINANCIAL SERVICES,-,8775,1.27,-,-,-,-,-
43,RECLTD,"Rural Electrification Corporation
Ltd.",FINANCIAL SERVICES,-,9800,1.42,-,-,-,-,-
44,SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,-,8278,1.2,-,-,-,-,-
45,SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,-,20583,2.99,-,-,-,-,-
46,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,-,21117,3.06,-,-,-,-,-
47,SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING,-,9307,1.35,-,-,-,-,-
48,SAIL,Steel Authority of India Ltd.,METALS,-,7843,1.14,-,-,-,-,-
49,SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,-,9040,1.31,-,-,-,-,-
50,MCDOWELL-N,United Spirits Ltd.,CONSUMER GOODS,-,18951,2.75,-,-,-,-,-
