Annexure II- Nifty Next 50 Index : Aug 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,7090.72,1.05,0.75,0.16,1.45,-1.81,0.07
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,12843.38,1.89,1.23,0.38,1.94,-2.60,0.02
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,14866.43,2.19,1.37,0.45,1.92,0.22,0.03
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2935527276,9270.54,1.37,1.49,0.30,3.37,-7.73,0.05
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585915609,16894.06,2.49,0.93,0.16,2.14,5.16,0.02
6,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6240844860,16669.02,2.46,0.96,0.15,1.63,5.97,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,16648.87,2.45,0.63,0.10,1.52,-4.37,0.08
8,BANDHANBNK,Bandhan Bank Ltd.,BANKS,11930916200,7283.59,1.07,1.21,0.14,1.87,-2.32,0.05
9,BANKBARODA,Bank of Baroda,BANKS,7693454712,11042.42,1.63,1.68,0.31,2.66,-13.21,0.04
10,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,6964126710,6512.68,0.96,1.47,0.29,3.19,-14.18,0.06
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,10460.64,1.54,0.86,0.13,2.51,3.99,0.04
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,12382.28,1.83,0.80,0.19,2.48,0.26,0.06
13,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,5764.95,0.85,0.89,0.18,1.84,-1.12,0.04
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,16986.31,2.50,0.46,0.10,1.09,7.13,0.03
15,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,13936.69,2.05,0.83,0.19,1.58,-0.68,0.04
