Annexure II-  Nifty 50 Index : Dec 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4063503522,28257.60,0.56,1.21,0.25,1.45,-4.20,0.02
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,80469.64,1.61,0.94,0.34,0.86,4.62,0.01
3,AXISBANK,Axis Bank Ltd.,BANKS,5639202936,167974.66,3.35,1.32,0.47,1.50,2.04,0.02
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,41473.53,0.83,0.78,0.24,0.98,0.28,0.02
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1203378138,109564.12,2.19,1.56,0.45,1.10,3.94,0.01
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795686450,56803.63,1.13,1.37,0.41,0.89,3.11,0.02
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,39452.96,0.79,1.41,0.26,1.57,-3.91,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,25659809250,86548.48,1.73,0.95,0.14,1.81,3.02,0.03
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,21483.20,0.43,0.56,0.03,2.16,-8.61,0.04
10,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240468296,35676.41,0.71,0.78,0.19,0.63,-0.98,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1612450224,24288.82,0.48,0.56,0.12,1.17,2.46,0.02
12,COALINDIA,Coal India Ltd.,MINING,61627283270,40377.27,0.81,0.81,0.15,1.82,2.97,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830728740,34864.38,0.70,0.35,0.05,1.00,-1.35,0.02
14,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,273036590,31352.18,0.63,1.59,0.33,1.78,-1.60,0.02
15,GAIL,GAIL (India) Ltd.,GAS,45101418660,22384.06,0.45,1.02,0.20,2.07,-3.97,0.03
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315597876,29350.33,0.59,1.48,0.38,1.30,-5.51,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,61665.33,1.23,0.29,0.03,0.95,0.76,0.02
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5475587626,550274.11,10.98,1.04,0.53,0.77,-0.22,0.02
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399474476,31717.92,0.63,1.24,0.29,1.23,0.39,0.01
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2246040614,31556.31,0.63,1.14,0.31,1.50,7.99,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164812057,137376.81,2.74,0.66,0.25,0.73,-5.52,0.02
22,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3451590870,416356.78,8.31,1.15,0.45,1.14,5.02,0.01
23,ICICIBANK,ICICI Bank Ltd.,BANKS,12935562616,348548.73,6.95,1.42,0.48,1.07,5.13,0.02
24,ITC,ITC Ltd.,CIGARETTES,12289303792,207402.89,4.14,0.74,0.25,1.14,-3.53,0.02
25,IOC,Indian Oil Corporation Ltd.,REFINERIES,94141589220,31912.59,0.64,1.28,0.30,1.31,-4.45,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6930543740,91046.55,1.82,1.80,0.38,1.44,-3.77,0.02
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21292283390,267767.07,5.34,0.30,0.02,0.98,5.00,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,27416.36,0.55,1.55,0.36,1.83,3.25,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9553448280,225278.91,4.49,0.97,0.37,0.95,4.28,0.02
30,LT,Larsen & Toubro Ltd.,ENGINEERING,2807162752,160347.38,3.20,1.31,0.51,1.09,-2.43,0.02
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720,50883.06,1.01,1.43,0.44,1.40,0.19,0.02
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,97939.91,1.95,1.42,0.41,1.16,1.69,0.02
33,NTPC,NTPC Ltd.,POWER,98945572800,53007.62,1.06,0.55,0.09,1.15,2.32,0.03
34,NESTLEIND,Nestle India Ltd.,FOOD AND FOOD PROCESSING,964157160,52744.98,1.05,0.62,0.15,1.20,2.29,0.02
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,62901396030,43749.18,0.87,1.08,0.25,1.18,-2.24,0.03
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,44788.95,0.89,0.32,0.04,1.05,-1.58,0.02
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,63392024000,489491.34,9.76,0.98,0.25,1.28,-2.39,0.01
38,SBIN,State Bank of India,BANKS,8924611534,128079.33,2.55,1.75,0.49,1.86,-2.37,0.02
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,46702.46,0.93,0.60,0.06,1.34,-3.85,0.02
40,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706,227122.84,4.53,0.30,0.03,1.60,5.28,0.02
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388,33144.74,0.66,1.99,0.23,2.76,14.64,0.03
42,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11264895180,35627.88,0.71,1.62,0.35,2.07,10.42,0.03
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4825759515,47087.06,0.94,0.32,0.04,1.12,0.11,0.02
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,49568.34,0.99,0.92,0.19,1.06,2.44,0.02
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528045912,32153.14,0.64,0.76,0.12,1.06,1.96,0.02
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2886180160,45542.75,0.91,1.38,0.43,1.11,-5.00,0.02
47,VEDL,Vedanta Ltd.,MINING,3717196639,27767.64,0.55,1.56,0.26,2.21,5.43,0.03
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,11425977472,36510.57,0.73,0.31,0.04,0.99,3.41,0.02
49,YESBANK,Yes Bank Ltd.,BANKS,5100944462,10417.79,0.21,1.89,0.07,5.61,-31.26,0.07
