Annexure II- Nifty Next 50 Index : February 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,6500.55,1.03,0.67,0.12,0.84,-3.56,0.06
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,12019.04,1.91,1.26,0.29,1.28,-0.07,0.02
3,ABCAPITAL,Aditya Birla Capital Ltd.,FINANCE,22013956890,5462.32,0.87,1.16,0.23,2.11,13.46,0.06
4,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,15579.07,2.47,1.40,0.35,1.56,1.02,0.04
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2935527276,12442.23,1.97,1.20,0.15,2.97,6.40,0.04
6,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585907609,20025.38,3.18,1.07,0.17,1.96,-9.62,0.03
7,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6240844860,15445.22,2.45,1.20,0.19,1.86,5.89,0.04
8,BANDHANBNK,Bandhan Bank Ltd.,BANKS,11928049440,5726.06,0.91,1.19,0.10,1.81,18.84,0.04
9,BANKBARODA,Bank of Baroda,BANKS,5291032264,9619.10,1.53,1.56,0.21,1.47,-10.18,0.04
10,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2436592943,7638.72,1.21,0.84,0.06,2.13,-1.37,0.05
11,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,6964126710,8303.50,1.32,1.25,0.20,2.51,-0.39,0.05
12,BIOCON,Biocon Ltd.,PHARMACEUTICALS,3000000000,13050.45,2.07,0.94,0.15,1.65,-4.14,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400,17420.90,2.76,0.57,0.07,1.55,0.93,0.04
14,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,35996.82,5.71,0.89,0.25,1.79,-4.40,0.03
15,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,8156.67,1.29,0.98,0.16,1.01,-0.08,0.04
16,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,16745.08,2.66,0.43,0.07,0.92,-1.85,0.03
17,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,12961.98,2.06,0.74,0.11,1.50,-9.85,0.05
18,DLF,DLF Ltd.,CONSTRUCTION,3568956884,7347.59,1.17,1.65,0.24,1.91,-0.09,0.05
19,DABUR,Dabur India Ltd.,PERSONAL CARE,1766264421,24758.79,3.93,0.94,0.19,1.26,-1.26,0.03
20,GICRE,General Insurance Corporation of India,FINANCE,8772000000,5340.92,0.85,0.09,0.00,2.52,-10.66,0.13
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022166096,25447.28,4.04,0.79,0.11,1.60,-5.14,0.04
22,HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCE,20169299970,11367.42,1.80,0.65,0.09,1.36,-5.21,0.05
23,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,625472910,17897.28,2.84,1.15,0.23,1.60,0.27,0.03
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,6831.07,1.08,0.69,0.11,1.24,3.55,0.04
25,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCE,4540644440,14798.07,2.35,0.51,0.04,1.53,5.78,0.07
26,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14357844810,9636.41,1.53,1.01,0.15,2.45,11.81,0.04
27,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3844068380,10814.81,1.71,0.90,0.08,1.60,-5.26,0.03
28,L&TFH,L&T Finance Holdings Ltd.,FINANCE,19973318600,7690.13,1.22,1.81,0.33,2.30,-5.52,0.05
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,14398.04,2.28,1.31,0.28,1.40,5.94,0.03
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,904532452,18307.17,2.90,0.89,0.16,1.59,-12.78,0.03
31,MRF,MRF Ltd.,TYRES,42411430,11812.17,1.87,0.85,0.25,1.50,-7.26,0.04
32,MARICO,Marico Ltd.,PERSONAL CARE,1290864398,17540.27,2.78,0.78,0.16,1.25,-7.38,0.03
33,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,3157934237,19512.24,3.09,1.23,0.16,3.53,15.65,0.04
34,NHPC,NHPC Ltd.,POWER,1.02593E+11,5179.93,0.82,0.52,0.08,1.68,-8.20,0.11
35,NMDC,NMDC Ltd.,MINING,3163890474,8920.91,1.41,0.93,0.15,1.32,3.92,0.05
36,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,11349039110,5350.16,0.85,0.72,0.09,1.65,4.15,0.04
37,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,428699615,7806.46,1.24,0.60,0.09,1.56,-7.87,0.04
38,PETRONET,Petronet LNG Ltd.,GAS,15000000880,16770.00,2.66,0.61,0.07,1.95,-1.78,0.04
39,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,507949480,17561.59,2.78,1.03,0.23,1.55,2.92,0.03
40,PEL,Piramal Enterprises Ltd.,PHARMACEUTICALS,366169540,20445.88,3.24,1.60,0.25,2.19,14.47,0.03
41,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,10131.50,1.61,0.15,0.01,1.28,8.62,0.13
42,SBILIFE,SBI Life Insurance Company Ltd.,FINANCE,10000000000,9256.80,1.47,0.38,0.03,0.92,-2.76,0.06
43,SHREECEM,Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,348372250,20231.65,3.21,1.15,0.27,1.37,5.59,0.06
44,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,16586.04,2.63,1.37,0.17,2.30,12.50,0.04
45,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,8831.34,1.40,1.14,0.25,1.70,-3.70,0.03
46,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4982.45,0.79,1.58,0.23,2.97,2.66,0.06
47,SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,1970423100,5992.55,0.95,1.07,0.12,3.32,14.74,0.04
48,NIACL,The New India Assurance Company Ltd.,FINANCE,8240000000,4264.20,0.68,0.42,0.03,1.47,-1.34,0.20
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,16273.98,2.58,1.14,0.18,2.13,1.19,0.03
50,IDEA,Vodafone Idea Ltd.,TELECOMMUNICATION - SERVICES,87353867420,5484.95,0.87,1.14,0.09,2.97,-0.66,0.09
,,,,,630663.13,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2018 to 28-Feb 2019,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Mar-2018 to 28-Feb 2019,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb 2019,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
