Annexure II- Nifty Next 50 Index : Jun 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,8489.31,1.21,0.68,0.13,1.35,2.11,0.05
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,13200.83,1.88,1.26,0.30,1.88,-7.35,0.02
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,15637.85,2.23,1.41,0.37,2.13,-7.70,0.03
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2935527276,12550.11,1.79,1.39,0.22,2.22,-1.80,0.04
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585915609,17100.77,2.43,0.92,0.14,2.35,-9.57,0.02
6,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6240844860,14830.93,2.11,1.02,0.16,1.59,5.65,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,18421.25,2.62,0.68,0.11,1.26,2.91,0.06
8,BANDHANBNK,Bandhan Bank Ltd.,BANKS,11930916200,8356.12,1.19,1.25,0.13,1.65,-8.95,0.04
9,BANKBARODA,Bank of Baroda,BANKS,6836336140,14547.72,2.07,1.68,0.26,1.99,-8.74,0.05
10,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,6964126710,9424.38,1.34,1.39,0.24,1.94,4.20,0.04
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,11124.42,1.58,0.83,0.13,1.95,-7.53,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,13974.70,1.99,0.58,0.09,0.98,-7.81,0.04
13,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,6185.96,0.88,0.92,0.15,2.20,-2.54,0.03
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,15029.19,2.14,0.51,0.11,0.90,-2.14,0.04
15,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,15629.77,2.23,0.89,0.18,1.27,7.55,0.04
16,DLF,DLF Ltd.,CONSTRUCTION,4674450556,11898.46,1.69,1.73,0.26,2.22,-1.39,0.04
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1767055672,22646.59,3.22,1.01,0.23,1.41,1.15,0.03
18,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,20349.12,2.90,0.89,0.13,1.61,0.29,0.03
19,GICRE,General Insurance Corporation of India,FINANCE,8772000000,5363.03,0.76,0.34,0.02,1.79,-3.13,0.07
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022166096,25078.54,3.57,0.87,0.15,1.15,-3.63,0.03
21,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCE,1062963225,7450.78,1.06,0.71,0.12,1.96,16.32,0.04
22,HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCE,20174253170,22468.47,3.20,0.61,0.10,1.26,5.07,0.03
23,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,625472910,19668.62,2.80,1.00,0.21,0.95,5.11,0.03
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250,21657.25,3.08,1.56,0.16,1.85,-10.55,0.03
25,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,6188.40,0.88,0.66,0.12,1.46,-0.69,0.03
26,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCE,4544104440,17694.40,2.52,0.53,0.05,2.57,-5.44,0.06
27,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14358394810,13950.98,1.99,1.00,0.14,2.12,0.23,0.03
28,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3846568030,14981.90,2.13,0.77,0.06,1.49,-7.06,0.02
29,L&TFH,L&T Finance Holdings Ltd.,FINANCE,19995348600,7137.64,1.02,1.92,0.37,2.50,-14.10,0.04
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,905165724,18104.11,2.58,0.80,0.14,1.31,1.23,0.02
31,MRF,MRF Ltd.,TYRES,42411430,11764.38,1.68,0.70,0.20,1.15,2.43,0.04
32,MARICO,Marico Ltd.,PERSONAL CARE,1290864398,19133.19,2.72,0.78,0.18,0.73,-0.38,0.03
33,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,3157934237,14634.18,2.08,1.37,0.19,1.88,5.72,0.04
34,NHPC,NHPC Ltd.,POWER,1.0045E+11,5480.57,0.78,0.54,0.09,1.06,-1.00,0.11
35,NMDC,NMDC Ltd.,MINING,3061849659,9683.41,1.38,0.89,0.15,1.33,11.50,0.04
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,428986000,7072.86,1.01,0.47,0.07,1.52,-7.24,0.05
37,PAGEIND,Page Industries Ltd.,TEXTILE PRODUCTS,111538740,11937.42,1.70,0.88,0.10,2.08,4.17,0.04
38,PETRONET,Petronet LNG Ltd.,GAS,15000000880,18382.50,2.62,0.62,0.09,1.64,-0.79,0.03
39,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,507978280,18507.43,2.64,1.00,0.26,0.95,-5.83,0.02
40,PEL,Piramal Enterprises Ltd.,PHARMACEUTICALS,397693128,20512.85,2.92,1.66,0.25,3.58,-12.44,0.03
41,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,10086.55,1.44,0.28,0.04,1.12,-2.44,0.13
42,SBILIFE,SBI Life Insurance Company Ltd.,FINANCE,10000000000,21711.00,3.09,0.40,0.04,1.95,4.24,0.06
43,SHREECEM,Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,348372250,26606.16,3.79,1.14,0.30,1.75,0.93,0.04
44,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,15688.67,2.23,1.53,0.22,3.02,-7.20,0.03
45,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,11674.96,1.66,1.15,0.27,1.29,3.11,0.03
46,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5240.60,0.75,1.52,0.25,2.52,1.20,0.05
47,NIACL,The New India Assurance Company Ltd.,FINANCE,8240000000,3691.93,0.53,0.43,0.04,1.30,-8.63,0.14
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,14869.62,2.12,0.75,0.10,0.93,-0.42,0.04
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,17426.94,2.48,0.98,0.16,1.98,5.58,0.03
50,IDEA,Vodafone Idea Ltd.,TELECOMMUNICATION - SERVICES,2.87354E+11,9077.51,1.29,1.25,0.10,2.37,-12.90,0.20
,,,,,702324.32,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2018 to 28-Jun 2019,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2018 to 28-Jun 2019,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Jun 2019,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
