Annexure II-  Nifty 50 Index : March 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,29758.96,0.64,1.39,0.25,1.47,16.05,0.03
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,67294.34,1.44,0.99,0.30,1.01,6.23,0.01
3,AXISBANK,Axis Bank Ltd.,BANKS,5142458262,151885.08,3.25,1.20,0.25,1.49,9.54,0.02
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,39591.69,0.85,0.87,0.18,0.87,0.36,0.02
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776,71682.53,1.53,1.44,0.26,1.44,14.19,0.02
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555,42554.25,0.91,1.45,0.34,0.82,8.89,0.02
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,31045.91,0.66,1.54,0.20,2.34,17.78,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000535,43940.62,0.94,1.17,0.18,2.76,4.73,0.03
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,26664.69,0.57,0.19,0.01,1.83,6.73,0.03
10,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,36333.60,0.78,0.88,0.23,1.03,0.94,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1611398096,26846.46,0.57,0.76,0.14,0.50,-4.63,0.02
12,COALINDIA,Coal India Ltd.,MINING,62074091770,39754.73,0.85,0.51,0.06,1.84,3.90,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830304305,33703.42,0.72,0.51,0.04,1.15,5.65,0.02
14,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700,28590.30,0.61,1.44,0.27,2.48,3.42,0.02
15,GAIL,GAIL (India) Ltd.,GAS,22550709330,31359.02,0.67,0.85,0.12,1.27,1.65,0.02
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315196726,33851.19,0.72,1.21,0.27,1.40,10.41,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2712526216,58994.73,1.26,0.56,0.06,1.60,3.18,0.02
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5446613220,498890.98,10.67,0.66,0.27,0.85,11.62,0.02
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399453768,33145.63,0.71,0.93,0.17,1.65,-2.85,0.02
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245530245,29994.67,0.64,1.43,0.23,1.55,4.98,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164671952,121923.85,2.61,0.74,0.18,0.84,-1.49,0.01
