Annexure II-  Nifty 50 Index : Nov 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,30065.87,0.60,1.27,0.28,1.33,-3.47,0.03
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,76917.16,1.55,0.99,0.36,1.08,-5.72,0.02
3,AXISBANK,Axis Bank Ltd.,BANKS,5638008906,164587.43,3.31,1.30,0.49,1.55,0.37,0.02
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,41356.33,0.83,0.86,0.29,0.82,-2.20,0.02
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1159788396,96866.80,1.95,1.57,0.47,1.09,1.16,0.01
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555,55091.25,1.11,1.43,0.44,1.25,12.00,0.02
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,41058.21,0.83,1.29,0.23,2.25,-2.86,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,25659809250,84013.55,1.69,1.00,0.16,3.37,18.22,0.03
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,23508.15,0.47,0.53,0.03,5.75,45.65,0.04
10,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,36006.24,0.72,0.82,0.21,1.45,-6.40,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1611909228,23696.76,0.48,0.57,0.13,1.56,-0.03,0.03
12,COALINDIA,Coal India Ltd.,MINING,61627283270,36682.10,0.74,0.73,0.14,1.65,-1.11,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830728740,35341.04,0.71,0.32,0.04,1.36,4.69,0.02
14,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272888190,31844.73,0.64,1.56,0.34,1.62,1.52,0.01
15,GAIL,GAIL (India) Ltd.,GAS,45101418660,23308.64,0.47,0.98,0.20,1.97,-8.23,0.03
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315345468,31057.28,0.62,1.49,0.40,1.96,2.38,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2712726216,61180.11,1.23,0.31,0.04,0.83,-3.02,0.02
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5470763894,551021.08,11.08,1.00,0.51,0.78,3.62,0.02
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399453768,31592.95,0.64,1.26,0.29,1.14,-10.01,0.02
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245924242,29218.91,0.59,1.11,0.30,2.05,6.52,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164812057,145399.39,2.92,0.71,0.27,1.14,-6.44,0.01
22,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3447303964,395965.95,7.97,1.13,0.45,1.12,7.76,0.01
23,ICICIBANK,ICICI Bank Ltd.,BANKS,12916216132,331042.62,6.66,1.40,0.49,1.47,10.70,0.02
24,ITC,ITC Ltd.,CIGARETTES,12284983252,211891.39,4.26,0.74,0.26,1.05,-4.37,0.02
25,IOC,Indian Oil Corporation Ltd.,REFINERIES,94141589220,32162.53,0.65,1.25,0.28,1.55,-10.49,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6929662570,94598.00,1.90,1.73,0.38,2.37,19.49,0.02
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21292060890,255019.70,5.13,0.34,0.03,1.46,1.57,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,26553.41,0.53,1.50,0.36,2.22,14.71,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9549068405,215931.17,4.34,1.06,0.37,0.98,2.58,0.02
30,LT,Larsen & Toubro Ltd.,ENGINEERING,2806531164,164306.12,3.31,1.31,0.53,0.95,-9.67,0.02
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720,50787.34,1.02,1.41,0.44,1.02,-12.52,0.02
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,96308.38,1.94,1.41,0.42,1.33,-4.15,0.02
33,NTPC,NTPC Ltd.,POWER,98945572800,50654.20,1.02,0.56,0.10,0.87,-4.94,0.03
34,NESTLEIND,Nestle India Ltd.,FOOD AND FOOD PROCESSING,964157160,51562.75,1.04,0.65,0.17,1.05,-3.30,0.02
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,62901396030,41436.29,0.83,1.08,0.26,1.41,-7.02,0.03
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,45506.98,0.92,0.34,0.05,1.08,-2.55,0.02
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,63391220990,530978.18,10.68,1.00,0.28,1.42,5.93,0.01
38,SBIN,State Bank of India,BANKS,8924611534,131187.77,2.64,1.64,0.48,1.76,9.43,0.02
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,49649.68,1.00,0.60,0.06,2.09,3.80,0.03
40,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706,215728.35,4.34,0.30,0.04,1.49,-9.53,0.02
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388,28911.02,0.58,1.94,0.24,1.40,-9.12,0.03
42,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11264895180,32265.48,0.65,1.55,0.35,2.35,12.34,0.03
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4823575740,47013.27,0.95,0.34,0.04,1.05,3.04,0.03
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,48389.58,0.97,0.95,0.21,2.34,-12.88,0.02
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528028010,31533.91,0.63,0.81,0.13,2.27,-3.89,0.03
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2886136660,47940.14,0.96,1.40,0.46,1.35,2.80,0.02
47,VEDL,Vedanta Ltd.,MINING,3717196639,26337.83,0.53,1.52,0.27,1.99,-2.53,0.03
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,11424565304,35303.05,0.71,0.34,0.05,0.86,-8.33,0.02
49,YESBANK,Yes Bank Ltd.,BANKS,5100619862,14283.27,0.29,1.75,0.07,3.63,-2.98,0.06
