Annexure II- Nifty Next 50 Index : Nov 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,12862.81,1.67,1.37,0.46,1.04,-2.93,0.02
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,15035.40,1.96,1.59,0.54,1.00,1.16,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2935527276,11385.00,1.48,1.93,0.40,1.83,3.13,0.04
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,12653.46,1.65,0.82,0.10,2.97,-4.25,0.03
5,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6240844860,19335.70,2.51,1.01,0.19,1.39,-8.63,0.04
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,18247.70,2.37,0.62,0.10,0.84,-2.87,0.06
7,BANDHANBNK,Bandhan Bank Ltd.,BANKS,16100660610,24330.03,3.16,1.32,0.18,2.17,-5.08,0.03
8,BANKBARODA,Bank of Baroda,BANKS,7693454712,12509.17,1.63,1.66,0.37,2.15,7.92,0.04
9,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971129711,12055.36,1.57,1.02,0.26,1.57,-5.77,0.02
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,12505.26,1.63,0.69,0.10,2.36,14.45,0.04
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,13807.02,1.80,1.02,0.27,1.70,5.47,0.04
12,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,6504.60,0.85,0.81,0.16,2.17,0.95,0.05
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,19647.10,2.55,0.76,0.21,1.46,-4.84,0.02
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,15875.16,2.06,0.80,0.17,1.55,-1.59,0.03
15,DLF,DLF Ltd.,CONSTRUCTION,4950630072,13595.67,1.77,1.81,0.32,1.91,19.86,0.03
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1767055672,25960.17,3.38,0.54,0.12,1.65,-0.62,0.02
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,22760.64,2.96,0.61,0.10,1.74,1.77,0.03
18,GICRE,General Insurance Corporation of India,FINANCE,8772000000,6398.30,0.83,0.87,0.07,3.47,-16.28,0.07
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022310383,27423.48,3.57,0.60,0.11,1.56,-2.07,0.03
20,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCE,1063049150,12783.84,1.66,0.72,0.09,3.07,18.12,0.03
21,HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCE,20176545190,28827.24,3.75,0.59,0.09,1.60,-8.74,0.02
22,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,625802834,16707.68,2.17,1.15,0.34,1.68,-3.53,0.03
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250,21100.98,2.74,1.55,0.31,1.87,-13.11,0.03
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,5459.53,0.71,0.96,0.31,1.43,1.27,0.05
25,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCE,4544164440,21676.35,2.82,0.62,0.08,1.24,1.50,0.04
26,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14358394810,18035.94,2.35,0.73,0.10,1.12,-1.57,0.02
27,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,855148182,9688.40,1.26,2.42,0.16,7.62,40.58,0.07
28,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3846568030,13888.03,1.81,0.64,0.05,1.98,-0.87,0.03
29,L&TFH,L&T Finance Holdings Ltd.,FINANCE,20004804600,7463.49,0.97,1.84,0.40,2.92,25.89,0.04
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,905295096,19207.85,2.50,0.49,0.07,1.83,7.46,0.02
31,MARICO,Marico Ltd.,PERSONAL CARE,1290944398,18584.44,2.42,0.37,0.07,1.10,-1.63,0.03
32,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,3157934237,15546.19,2.02,1.74,0.29,2.84,5.37,0.03
33,NHPC,NHPC Ltd.,POWER,1.0045E+11,5498.65,0.71,0.35,0.05,0.65,1.28,0.11
34,NMDC,NMDC Ltd.,MINING,3061849659,8791.80,1.14,1.24,0.21,2.21,-8.93,0.04
35,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,429170720,6793.24,0.88,0.54,0.09,1.04,-6.66,0.07
36,PAGEIND,Page Industries Ltd.,TEXTILE PRODUCTS,111538740,12788.51,1.66,1.24,0.22,1.45,-14.38,0.04
37,PETRONET,Petronet LNG Ltd.,GAS,15000000880,20362.50,2.65,0.48,0.07,1.27,-5.20,0.03
38,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,507979930,19856.94,2.58,0.97,0.32,1.21,-7.03,0.02
39,PEL,Piramal Enterprises Ltd.,PHARMACEUTICALS,397693260,19080.10,2.48,1.30,0.18,2.18,7.50,0.03
40,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,26400814080,12393.86,1.61,1.23,0.22,2.02,4.90,0.04
41,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,10731.57,1.40,0.55,0.14,1.37,-6.88,0.12
42,PNB,Punjab National Bank,BANKS,9208094056,6946.59,0.90,1.71,0.36,2.32,0.38,0.05
