Annexure II-  Nifty 50 Index : Oct 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,31147.94,0.64,1.27,0.28,1.81,-4.38,0.03
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,81580.92,1.67,0.97,0.35,1.24,2.69,0.02
3,AXISBANK,Axis Bank Ltd.,BANKS,5638008906,163986.14,3.35,1.25,0.45,1.56,7.50,0.03
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,42285.42,0.86,0.89,0.30,1.10,10.39,0.03
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1159788396,95757.67,1.96,1.54,0.44,1.65,-0.46,0.02
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555,49189.82,1.01,1.43,0.45,1.28,-4.45,0.03
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,42266.15,0.86,1.33,0.24,2.78,12.02,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,25659809250,71063.56,1.45,0.98,0.17,2.70,1.96,0.04
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,16140.05,0.33,0.45,0.03,3.62,-26.27,0.05
10,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294,38466.16,0.79,0.83,0.21,1.66,10.95,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1611909228,23704.37,0.48,0.55,0.10,1.93,9.72,0.03
12,COALINDIA,Coal India Ltd.,MINING,61627283270,37093.15,0.76,0.68,0.13,1.89,3.85,0.04
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830728740,33756.43,0.69,0.28,0.03,1.17,3.00,0.03
14,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272888190,31366.94,0.64,1.61,0.36,2.06,26.87,0.02
15,GAIL,GAIL (India) Ltd.,GAS,45101418660,25398.19,0.52,0.91,0.19,2.17,2.12,0.03
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315345468,30335.15,0.62,1.42,0.37,2.82,5.29,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2712726216,63084.45,1.29,0.31,0.03,1.44,7.60,0.02
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5470763894,531745.39,10.87,1.02,0.53,1.40,0.24,0.02
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399453768,35106.59,0.72,1.32,0.31,1.26,-0.02,0.02
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245924242,27430.60,0.56,1.14,0.31,1.60,-1.80,0.03
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164812057,155404.39,3.18,0.72,0.28,0.86,9.76,0.01
22,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3447303964,367465.37,7.51,1.15,0.47,0.99,7.83,0.02
23,ICICIBANK,ICICI Bank Ltd.,BANKS,12916216132,299042.69,6.11,1.39,0.51,1.97,6.77,0.03
24,ITC,ITC Ltd.,CIGARETTES,12284983252,221565.82,4.53,0.77,0.29,1.37,-0.85,0.03
25,IOC,Indian Oil Corporation Ltd.,REFINERIES,94141589220,35931.96,0.73,1.30,0.29,1.31,-0.41,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6929662570,79170.29,1.62,1.72,0.40,3.02,-5.08,0.04
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21292060890,251082.80,5.13,0.31,0.02,3.99,-14.90,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,23147.30,0.47,1.47,0.37,2.33,-0.85,0.03
