Annexure II- Nifty Next 50 Index : Oct 2019,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,13250.69,1.75,1.37,0.46,1.87,-2.49,0.02
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,14862.75,1.96,1.58,0.53,2.19,-0.81,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2935527276,11039.78,1.45,1.91,0.38,3.07,11.72,0.04
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,13214.56,1.74,0.78,0.10,4.65,-20.23,0.03
5,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6240844860,21162.11,2.79,1.03,0.20,1.30,7.20,0.04
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,18787.03,2.47,0.62,0.10,1.08,2.13,0.09
7,BANDHANBNK,Bandhan Bank Ltd.,BANKS,11931112090,9497.05,1.25,1.39,0.20,4.83,24.48,0.04
8,BANKBARODA,Bank of Baroda,BANKS,7693454712,11590.96,1.53,1.61,0.36,2.22,4.46,0.05
9,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971129711,12793.42,1.69,1.02,0.26,2.24,21.19,0.02
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,10926.84,1.44,0.62,0.09,2.08,10.38,0.04
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,13090.90,1.72,1.00,0.28,2.54,8.83,0.05
12,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,6443.18,0.85,0.79,0.16,1.31,7.91,0.05
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,20646.65,2.72,0.76,0.21,1.48,3.01,0.02
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,16131.52,2.12,0.82,0.18,2.61,-2.71,0.04
15,DLF,DLF Ltd.,CONSTRUCTION,4950630072,11343.13,1.49,1.78,0.31,3.11,17.80,0.04
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1767055672,26121.32,3.44,0.54,0.12,1.33,3.29,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,22363.71,2.95,0.58,0.09,0.99,5.38,0.03
18,GICRE,General Insurance Corporation of India,FINANCE,8772000000,7642.34,1.01,0.84,0.08,6.20,41.50,0.17
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022310383,28004.10,3.69,0.60,0.12,1.46,7.72,0.04
20,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCE,1063049150,10822.50,1.43,0.77,0.12,2.49,6.87,0.03
21,HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCE,20176545190,31586.38,4.16,0.58,0.09,1.48,4.17,0.02
22,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,625802834,17318.47,2.28,1.10,0.33,1.53,-3.68,0.03
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250,24285.54,3.20,1.54,0.29,2.05,7.81,0.03
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,5391.08,0.71,0.91,0.30,1.56,-0.37,0.06
25,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCE,4544164440,21356.66,2.81,0.62,0.07,2.08,10.99,0.04
26,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14358394810,18323.11,2.41,0.74,0.10,1.50,10.13,0.03
27,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,855148182,6891.94,0.91,2.19,0.16,8.65,-19.25,0.09
28,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3846568030,14009.68,1.85,0.69,0.06,3.28,-22.90,0.03
29,L&TFH,L&T Finance Holdings Ltd.,FINANCE,20004804600,5928.62,0.78,1.75,0.39,2.04,12.80,0.06
