Annexure II- Nifty Next 50 Index : Feb 2020,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877872630,11161.75,1.53,1.32,0.48,1.88,-12.21,0.02
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,15064.79,2.06,1.46,0.50,1.94,0.27,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2935527276,10054.47,1.38,1.98,0.47,2.98,-14.70,0.04
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,14217.21,1.95,1.05,0.11,6.32,5.01,0.02
5,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6269603690,26226.44,3.59,0.99,0.20,3.23,8.90,0.04
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,17337.96,2.37,0.67,0.12,2.23,-1.96,0.05
7,BANDHANBNK,Bandhan Bank Ltd.,BANKS,16100709610,16054.02,2.20,1.27,0.19,2.22,-14.84,0.03
8,BANKBARODA,Bank of Baroda,BANKS,9241133172,9166.28,1.26,1.72,0.41,2.13,-17.69,0.04
9,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971129711,13754.84,1.88,0.94,0.25,1.57,1.14,0.03
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,12738.36,1.74,0.65,0.10,2.23,-2.53,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,10373.65,1.42,1.21,0.36,2.44,-12.66,0.05
12,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,6655.61,0.91,0.77,0.16,1.57,-2.07,0.04
