Annexure II- Nifty Next 50 Index : Jul 2020,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877872630,12045.66,1.63,0.76,0.40,1.67,7.00,0.02
2,ABBOTINDIA,Abbott India Ltd.,PHARMACEUTICALS,212493020,8253.41,1.12,0.52,0.20,1.58,-1.27,0.05
3,ADANITRANS,Adani Transmission Ltd.,POWER,10998100830,6484.76,0.88,0.59,0.13,2.20,-9.36,0.09
4,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,16170.50,2.19,0.80,0.40,2.14,13.69,0.03
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,24598.17,3.34,0.94,0.21,2.25,13.33,0.02
6,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6477746910,30742.97,4.17,0.68,0.29,2.12,-10.95,0.05
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,13302.30,1.81,0.84,0.28,2.25,4.45,0.06
8,BANDHANBNK,Bandhan Bank Ltd.,BANKS,16102708720,13892.61,1.89,1.51,0.31,3.36,8.08,0.03
9,BANKBARODA,Bank of Baroda,BANKS,9241133172,5622.31,0.76,1.01,0.40,2.37,-3.70,0.06
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971219780,12783.68,1.74,0.71,0.33,1.08,6.60,0.03
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,18186.24,2.47,0.53,0.19,1.91,5.00,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,11186.37,1.52,1.02,0.47,3.22,14.54,0.05
13,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,9940.54,1.35,0.43,0.12,2.08,10.00,0.03
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,18968.74,2.57,0.49,0.23,1.42,1.18,0.03
15,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,12368.37,1.68,1.02,0.45,1.48,7.94,0.05
16,DLF,DLF Ltd.,CONSTRUCTION,4950630072,8734.77,1.19,1.25,0.50,1.92,-4.66,0.04
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1767063892,29039.22,3.94,0.59,0.35,1.65,10.22,0.03
18,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,33341.37,4.53,0.52,0.23,2.17,14.82,0.03
19,GICRE,General Insurance Corporation of India,FINANCE,8772000000,3533.19,0.48,0.66,0.12,2.91,-3.52,0.07
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022316352,26169.71,3.55,0.64,0.27,1.24,0.15,0.04
21,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCE,1064218980,13390.19,1.82,0.80,0.32,1.26,-2.57,0.03
22,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,626013006,14602.38,1.98,0.73,0.36,1.81,0.63,0.03
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250,16053.47,2.18,0.94,0.33,2.61,-0.81,0.04
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,5325.17,0.72,0.59,0.26,2.61,7.20,0.05
25,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCE,4544736640,26067.88,3.54,0.91,0.40,1.43,2.92,0.07
26,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14358729910,16234.34,2.20,1.20,0.46,1.72,6.21,0.04
27,IGL,Indraprastha Gas Ltd.,GAS,1400001600,14129.52,1.92,0.77,0.38,1.75,-8.73,0.04
28,NAUKRI,Info Edge (India) Ltd.,COMPUTERS - SOFTWARE,1225161590,22308.19,3.03,0.81,0.25,2.09,15.66,0.04
29,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3847962790,9426.07,1.28,0.62,0.17,2.29,-0.91,0.04
30,LUPIN,Lupin Ltd.,PHARMACEUTICALS,906120020,22248.49,3.02,0.27,0.06,1.87,1.62,0.03
31,MARICO,Marico Ltd.,PERSONAL CARE,1291045358,18769.22,2.55,0.44,0.21,1.31,3.28,0.03
32,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,3157934237,11388.14,1.55,1.37,0.40,2.36,0.26,0.04
33,MUTHOOTFIN,Muthoot Finance Ltd.,FINANCE,4010373260,13792.72,1.87,1.23,0.46,2.84,17.29,0.04
34,NHPC,NHPC Ltd.,POWER,100450348050,5097.86,0.69,0.61,0.23,0.82,1.50,0.13
35,NMDC,NMDC Ltd.,MINING,3061849659,7697.49,1.04,0.94,0.29,2.27,3.27,0.05
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,429769145,6818.14,0.93,0.61,0.20,1.94,2.59,0.06
37,PAGEIND,Page Industries Ltd.,TEXTILE PRODUCTS,111538740,11494.61,1.56,0.58,0.22,1.24,-0.48,0.05
38,PETRONET,Petronet LNG Ltd.,GAS,15000000880,18588.75,2.52,0.62,0.28,2.32,-3.95,0.03
39,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508123780,20685.72,2.81,0.67,0.36,1.23,-1.10,0.03
40,PEL,Piramal Enterprises Ltd.,FINANCE,451076712,16615.41,2.26,1.03,0.25,3.25,8.04,0.09
41,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,26400814080,9391.83,1.27,1.02,0.42,1.86,-3.75,0.05
42,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,9744.83,1.32,0.32,0.12,1.77,1.97,0.10
43,PNB,Punjab National Bank,BANKS,18821258630,4209.37,0.57,0.81,0.30,2.30,-8.06,0.08
44,SBICARD,SBI Cards and Payment Services Ltd.,FINANCE,9389567940,7507.29,1.02,0.92,0.40,2.06,15.33,0.04
45,SBILIFE,SBI Life Insurance Company Ltd.,FINANCE,10000297950,35602.21,4.83,0.89,0.42,1.90,13.19,0.05
46,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2530615130,12945.67,1.76,1.57,0.44,2.62,2.89,0.04
47,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,10345.74,1.40,0.85,0.51,1.45,5.96,0.03
48,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,13071.51,1.77,0.35,0.09,2.34,12.29,0.03
49,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,10568.09,1.43,0.62,0.33,1.52,-8.30,0.05
50,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,17315.22,2.35,0.72,0.31,1.61,-1.87,0.03
,,,,,736800.39,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2019 to 31-Jul-2020,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2019 to 31-Jul-2020,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jul-2020,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
