Annexure II- Nifty Next 50 Index : May 2020,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877872630,10733.73,1.66,0.78,0.40,2.28,7.73,0.02
2,ADANITRANS,Adani Transmission Ltd.,POWER,10998100830,4781.42,0.74,0.59,0.14,2.01,-15.93,0.13
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,14072.96,2.17,0.83,0.42,1.97,11.59,0.04
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2935527276,6106.04,0.94,1.16,0.30,3.19,-18.91,0.06
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,20971.45,3.24,1.03,0.24,2.65,19.14,0.03
6,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6477746910,33810.63,5.22,0.70,0.31,2.70,-4.80,0.25
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,10242.07,1.58,0.78,0.28,1.49,-1.83,0.07
8,BANDHANBNK,Bandhan Bank Ltd.,BANKS,16102182410,9133.00,1.41,1.43,0.29,3.97,-16.85,0.05
9,BANKBARODA,Bank of Baroda,BANKS,9241133172,4679.25,0.72,1.01,0.41,3.32,-20.83,0.07
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971129711,11938.83,1.84,0.74,0.36,2.30,-3.27,0.04
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,15748.68,2.43,0.58,0.22,1.94,0.21,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,8314.65,1.28,1.01,0.54,1.95,-8.40,0.06
13,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,8819.54,1.36,0.48,0.13,1.77,6.37,0.04
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,18544.93,2.87,0.51,0.25,2.49,-4.63,0.04
15,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,10312.00,1.59,1.02,0.46,3.13,0.82,0.06
16,DLF,DLF Ltd.,CONSTRUCTION,4950630072,9322.66,1.44,1.27,0.51,2.90,2.59,0.05
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1767063892,26375.90,4.07,0.62,0.38,2.17,-4.67,0.04
18,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,30455.83,4.71,0.55,0.28,1.50,2.45,0.04
19,GICRE,General Insurance Corporation of India,FINANCE,8772000000,3401.78,0.53,0.69,0.14,2.87,-1.07,0.24
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022310383,23973.79,3.70,0.68,0.29,2.81,16.68,0.04
21,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCE,1063144725,10735.21,1.66,0.80,0.28,1.32,-0.25,0.04
22,HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCE,20181880290,30621.56,4.73,1.10,0.51,2.26,4.42,0.02
23,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,625802834,12422.19,1.92,0.73,0.38,2.69,-11.93,0.04
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250,14526.52,2.24,0.93,0.34,3.17,-11.69,0.04
25,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,4349.12,0.67,0.62,0.29,2.65,-1.75,0.06
26,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCE,4544305740,26007.43,4.02,0.96,0.40,2.74,0.78,0.07
27,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14358522910,14110.84,2.18,1.25,0.48,3.19,-4.58,0.07
28,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,855148182,4073.80,0.63,1.25,0.13,4.93,-7.95,0.07
29,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3847962790,9288.02,1.43,0.61,0.17,3.19,-2.99,0.05
30,L&TFH,L&T Finance Holdings Ltd.,FINANCE,20005079600,3370.56,0.52,1.52,0.58,3.54,-17.15,0.08
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,905590568,20873.59,3.22,0.33,0.09,1.84,4.13,0.03
32,MARICO,Marico Ltd.,PERSONAL CARE,1290944398,17753.07,2.74,0.46,0.23,1.92,19.79,0.03
33,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,3157934237,11436.14,1.77,1.41,0.41,3.49,8.85,0.05
34,NHPC,NHPC Ltd.,POWER,100450348050,4528.30,0.70,0.62,0.23,1.33,-5.77,0.13
35,NMDC,NMDC Ltd.,MINING,3061849659,6957.13,1.07,0.95,0.30,2.83,0.74,0.06
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,429255345,5775.94,0.89,0.66,0.25,2.38,6.18,0.07
37,PAGEIND,Page Industries Ltd.,TEXTILE PRODUCTS,111538740,10942.54,1.69,0.61,0.25,2.09,3.69,0.05
38,PETRONET,Petronet LNG Ltd.,GAS,15000000880,18941.25,2.93,0.67,0.34,2.34,3.93,0.05
39,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,507997780,22378.32,3.46,0.70,0.38,2.17,-3.84,0.04
40,PEL,Piramal Enterprises Ltd.,FINANCE,451092398,11567.84,1.79,0.98,0.24,2.70,-2.13,0.04
41,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,26400814080,8735.50,1.35,1.00,0.42,2.93,-21.17,0.05
42,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,9313.17,1.44,0.34,0.14,0.88,-6.28,0.11
43,PNB,Punjab National Bank,BANKS,13475131976,3063.91,0.47,0.78,0.29,2.59,-17.18,0.10
44,SBILIFE,SBI Life Insurance Company Ltd.,FINANCE,10000000000,28440.05,4.39,0.89,0.41,2.43,5.75,0.05
45,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,9608.53,1.48,1.63,0.45,3.75,-26.72,0.06
46,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,9697.15,1.50,0.87,0.51,2.63,-4.44,0.05
47,NIACL,The New India Assurance Company Ltd.,FINANCE,8240000000,2986.18,0.46,0.69,0.12,3.08,0.79,0.09
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,10627.50,1.64,0.62,0.36,2.61,1.96,0.06
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,17699.54,2.73,0.77,0.33,3.42,10.71,0.03
50,IDEA,Vodafone Idea Ltd.,TELECOMMUNICATION - SERVICES,287353892400,4705.42,0.73,0.94,0.05,5.43,55.95,0.52
,,,,,647275.47,,,,,,0.06
,,,,,,,,,,,
