Annexure II- Nifty Next 50 Index : Nov 2020,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC, ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877872630,13935,1.84,,,,,
2,ABBOTINDIA,Abbott India Ltd.,PHARMACEUTICALS,212493020,8180.48,0.97,0.46,0.17,1.10,0.66,0.06
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,44433.65,5.28,0.54,0.09,3.27,32.70,0.82
4,ADANITRANS,Adani Transmission Ltd.,POWER,10998100830,10346.46,1.23,0.67,0.16,2.84,29.69,0.07
5,ALKEM,Alkem Laboratories Ltd.,PHARMACEUTICALS,239130000,11551.90,1.37,0.23,0.04,1.14,7.87,0.05
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,19179.05,2.28,0.73,0.35,1.82,0.52,0.03
7,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,24428.01,2.91,0.98,0.24,2.35,12.41,0.02
8,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6477746910,34106.37,4.06,0.61,0.25,1.59,2.20,0.05
9,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,15343.90,1.82,0.86,0.27,2.97,32.82,0.05
10,BANDHANBNK,Bandhan Bank Ltd.,BANKS,16103449420,24821.86,2.95,1.53,0.33,1.70,26.79,0.03
11,BANKBARODA,Bank of Baroda,BANKS,9241133172,6168.92,0.73,1.00,0.36,2.70,23.14,0.06
12,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971219780,15727.69,1.87,0.65,0.32,0.99,3.96,0.03
13,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,18598.92,2.21,0.79,0.14,4.12,17.81,0.11
14,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,19063.14,2.27,0.58,0.22,1.54,6.38,0.03
15,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,10961.81,1.30,0.98,0.42,2.68,10.39,0.05
16,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,11519.66,1.37,0.43,0.10,2.76,7.76,0.03
17,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,20173.53,2.40,0.46,0.22,1.48,-0.20,0.03
18,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,11133.18,1.32,1.00,0.41,2.20,3.88,0.03
19,DLF,DLF Ltd.,CONSTRUCTION,4950630072,11584.47,1.38,1.24,0.52,2.01,18.26,0.05
20,DABUR,Dabur India Ltd.,PERSONAL CARE,1767412426,28267.29,3.36,0.62,0.38,1.04,-2.28,0.02
21,GICRE,General Insurance Corporation of India,FINANCE,8772000000,3461.96,0.41,0.64,0.16,1.55,19.60,0.06
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022481485,26472.81,3.15,0.65,0.28,1.26,5.26,0.03
23,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCE,1064312830,13510.39,1.61,0.79,0.39,1.82,12.83,0.04
