Annexure II-  Nifty 50 Index : Apr 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4063503522,53398.09,0.84,1.12,0.30,4.18,3.94,0.04
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,114346.74,1.81,0.70,0.21,1.80,-0.04,0.02
3,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6126763828,179580.96,2.84,1.61,0.48,2.38,2.50,0.03
4,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2893670200,49921.24,0.79,0.77,0.25,1.93,4.44,0.03
5,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1205174678,144550.82,2.28,1.74,0.51,3.64,5.87,0.02
6,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,795687220,66771.32,1.06,1.48,0.45,2.95,14.20,0.03
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,39344.60,0.62,1.05,0.27,1.72,-1.44,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27460136340,129705.21,2.05,0.66,0.14,1.58,3.76,0.02
9,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,40706.98,0.64,0.32,0.08,1.39,-4.86,0.02
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1612920892,46252.16,0.73,0.25,0.02,1.79,11.69,0.02
11,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,27878.33,0.44,0.95,0.32,1.67,2.07,0.03
12,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,51764.46,0.82,0.58,0.13,1.34,12.13,0.02
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,831501845,62679.66,0.99,0.25,0.03,1.97,14.33,0.02
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273335922,33758.12,0.53,1.08,0.35,2.38,-7.00,0.02
15,GRASIM,Grasim Industries Ltd.,CEMENT,1315902008,53492.40,0.85,0.98,0.33,1.93,-3.36,0.02
16,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,97577.97,1.54,0.68,0.18,1.80,-8.52,0.02
17,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5512776482,615069.84,9.72,1.31,0.61,1.94,-5.45,0.02
