Annexure II- Nifty Next 50 Index : Apr 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,16447.98,1.56,0.9,0.34,1.68,-1.08,0.02
2,ABBOTINDIA,Abbott India Ltd.,PHARMACEUTICALS,212493020,6790.6,0.64,0.1,0.01,1.09,1.12,0.05
3,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1099810083,32935.92,3.12,1.22,0.21,3.93,12.37,0.03
4,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,33612,3.19,0.51,0.04,2.47,-7.77,0.44
5,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,10998100830,24353.78,2.31,0.84,0.1,4.24,15.58,1.28
6,ALKEM,Alkem Laboratories Ltd.,PHARMACEUTICALS,239130000,11936.39,1.13,0.14,0.01,1.61,-0.39,0.04
7,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,23473.25,2.23,0.93,0.31,1.82,0.06,0.03
8,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,33270.73,3.16,0.57,0.09,1.88,10.16,0.02
9,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,28519.18,2.71,0.45,0.07,1.71,11.3,0.02
10,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,35859.08,3.4,0.64,0.13,2.24,-0.22,0.04
11,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,14455.12,1.37,0.77,0.19,1.48,3.89,0.05
12,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16105833670,23059.95,2.19,1.59,0.37,3.07,-2.7,0.1
13,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971295037,17672.78,1.68,0.71,0.26,1.35,-7.97,0.03
14,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,17426.39,1.65,0.65,0.14,1.57,-7.15,0.03
15,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,11945.13,1.13,1.05,0.28,1.89,-4.11,0.04
16,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,15112.01,1.43,0.45,0.07,2.86,29.54,0.04
