Annexure II-  Nifty 50 Index : Aug 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4083503522,55002.34,0.74,1.21,0.22,1.90,10.94,0.03
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,144324.21,1.94,0.68,0.16,1.32,8.21,0.01
3,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6130189628,202498.55,2.73,1.49,0.49,1.40,10.95,0.02
4,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2893670200,48542.26,0.65,0.69,0.19,1.17,-2.66,0.02
5,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1207188690,199836.81,2.69,1.49,0.42,1.68,20.82,0.02
6,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,795687220,103702.31,1.40,1.33,0.35,2.16,20.58,0.03
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,43994.51,0.59,0.84,0.22,1.20,5.87,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27460136340,156820.17,2.11,0.94,0.22,2.50,18.23,0.03
9,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,47180.68,0.64,0.28,0.05,1.36,16.77,0.02
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1613193506,48163.02,0.65,0.44,0.07,1.32,3.02,0.02
11,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,30560.35,0.41,0.96,0.25,1.42,1.78,0.03
12,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,65924.56,0.89,0.73,0.20,1.20,5.45,0.02
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,831721570,57121.91,0.77,0.38,0.04,1.13,-0.15,0.01
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273388422,37356.27,0.50,0.94,0.28,2.05,5.89,0.02
