Annexure II- Nifty Next 50 Index : Aug 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,21335.20,1.71,0.87,0.26,1.41,0.80,0.02
2,ABBOTINDIA,Abbott India Ltd.,PHARMACEUTICALS,212493020,8188.00,0.66,0.12,0.01,2.20,1.36,0.06
3,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1099810083,45669.21,3.67,1.30,0.19,2.41,11.78,0.02
4,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,37417.63,3.01,0.53,0.03,1.58,21.09,0.26
5,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,10998100830,34757.11,2.79,1.05,0.10,2.18,76.91,2.10
6,ALKEM,Alkem Laboratories Ltd.,PHARMACEUTICALS,239130000,17951.70,1.44,0.25,0.03,1.36,12.31,0.04
7,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,32363.97,2.60,0.94,0.26,1.70,2.41,0.03
8,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,52330.19,4.21,0.59,0.06,3.50,23.16,0.02
9,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,21400.88,1.72,0.72,0.13,2.33,-20.65,0.02
10,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,47123.81,3.79,0.69,0.13,0.85,12.97,0.04
11,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,17450.55,1.40,0.52,0.10,1.31,8.29,0.04
12,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16106691450,20170.89,1.62,1.35,0.31,2.01,-2.15,0.03
13,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971295037,20852.26,1.68,0.75,0.28,1.16,-2.70,0.03
14,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,17119.95,1.38,0.94,0.24,2.21,-7.12,0.03
15,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,12401.93,1.00,0.94,0.24,1.41,-7.41,0.03
16,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,14838.25,1.19,0.64,0.10,1.81,-5.45,0.03
17,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,23610.25,1.90,0.34,0.07,0.94,-0.65,0.02
18,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,20753.48,1.67,1.71,0.42,2.05,-5.06,0.04
19,DABUR,Dabur India Ltd.,PERSONAL CARE,1767851627,37933.73,3.05,0.38,0.10,1.56,3.46,0.02
20,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,44403852250,27158.40,2.18,0.99,0.21,1.81,4.73,0.03
21,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,163904723,15313.04,1.23,0.08,0.00,1.96,-0.93,0.03
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022486273,43511.11,3.50,0.44,0.05,1.49,11.29,0.04
23,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1065342070,17818.18,1.43,0.87,0.28,0.94,7.71,0.03
24,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626303067,33246.24,2.67,0.89,0.19,1.68,8.08,0.03
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES/MARKETING,14185483450,17804.98,1.43,0.77,0.15,1.79,2.09,0.03
26,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4546516040,36407.96,2.93,0.70,0.17,1.51,8.05,0.03
27,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14365076960,26745.31,2.15,0.68,0.15,1.50,4.13,0.04
28,IGL,Indraprastha Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1400001600,19987.87,1.61,0.76,0.15,1.20,-2.13,0.03
29,INDUSTOWER,Indus Towers Ltd.,TELECOM - INFRASTRUCTURE,26949369500,18215.43,1.46,0.84,0.09,1.98,-3.04,0.05
30,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1287841200,49979.49,4.02,0.78,0.09,1.52,18.55,0.03
31,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3849100000,19170.13,1.54,1.21,0.30,1.45,15.59,0.03
32,JUBLFOOD,Jubilant Foodworks Ltd.,RESTAURANTS,1319690400,31992.01,2.57,0.77,0.13,2.15,5.82,0.03
33,LTI,Larsen & Toubro Infotech Ltd.,COMPUTERS - SOFTWARE,174792808,25259.02,2.03,0.66,0.07,1.41,13.41,0.04
34,LUPIN,Lupin Ltd.,PHARMACEUTICALS,907805596,24107.98,1.94,0.69,0.12,2.38,-13.50,0.03
35,MRF,MRF Ltd.,TYRES & ALLIED,42411430,17337.84,1.39,0.85,0.24,1.16,-0.21,0.03
36,MARICO,Marico Ltd.,PERSONAL CARE,1291386648,29423.81,2.37,0.42,0.08,1.50,-0.41,0.02
37,MUTHOOTFIN,Muthoot Finance Ltd.,NBFC,4011958560,17158.16,1.38,0.97,0.21,1.45,-2.62,0.04
38,NMDC,NMDC Ltd.,INDUSTRIAL MINERALS,2930605850,18420.80,1.48,1.11,0.19,3.00,-14.98,0.04
39,PETRONET,Petronet LNG Ltd.,LPG/CNG/PNG/LNG SUPPLIER,15000000880,17859.04,1.44,0.62,0.15,1.27,4.28,0.03
40,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508153380,36369.91,2.92,0.62,0.20,0.99,0.07,0.03
41,PEL,Piramal Enterprises Ltd.,OTHER FINANCIAL SERVICES,477327400,33194.33,2.67,1.50,0.34,2.50,12.42,0.03
42,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,10445.03,0.84,0.16,0.01,1.17,9.41,0.05
43,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22022031116,11399.60,0.92,1.08,0.16,1.60,-7.22,0.07
44,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9410280790,20601.18,1.66,0.63,0.10,1.42,10.01,0.04
