Annexure II- Nifty Next 50 Index : Dec 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,19633.18,1.51,0.84,0.26,1.52,-3.09,0.02
2,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1099810083,49283.93,3.78,1.41,0.22,1.89,2.80,0.02
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,37905.68,2.91,0.61,0.06,2.12,2.69,0.03
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,10998100830,37915.92,2.91,0.86,0.06,2.43,-3.26,0.21
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,29081.15,2.23,0.93,0.26,1.68,0.77,0.03
6,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,52909.56,4.06,0.71,0.08,2.18,-11.86,0.02
7,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,21656.47,1.66,0.57,0.09,1.68,11.22,0.02
8,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,55132.29,4.23,0.92,0.20,1.47,-0.84,0.04
9,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,21550.07,1.65,0.52,0.11,2.45,7.83,0.04
10,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16107232250,17925.31,1.38,1.17,0.22,2.16,-7.25,0.03
11,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,15997.33,1.23,1.46,0.25,2.16,-4.43,0.04
12,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971295037,19649.84,1.51,0.75,0.25,1.15,2.66,0.03
13,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,17903.19,1.37,0.75,0.16,2.43,1.18,0.04
14,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,15533.59,1.19,0.94,0.22,1.75,7.12,0.04
15,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,12965.94,0.99,0.55,0.10,1.64,3.85,0.03
16,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1641812798,21501.23,1.65,1.50,0.28,2.56,-5.47,0.04
17,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,20700.28,1.59,0.23,0.04,1.05,3.27,0.03
18,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,25335.36,1.94,1.77,0.40,2.40,4.18,0.04
19,DABUR,Dabur India Ltd.,PERSONAL CARE,1767856483,35482.78,2.72,0.35,0.09,1.11,-2.50,0.02
