Annexure II- Nifty Next 50 Index : Jan 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877872630,13553.22,1.53,0.72,0.36,1.61,-0.85,0.02
2,ABBOTINDIA,Abbott India Ltd.,PHARMACEUTICALS,212493020,7555.22,0.85,0.45,0.16,0.91,-9.81,0.05
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,39291.95,4.42,0.55,0.10,2.83,-4.53,0.18
4,ADANITRANS,Adani Transmission Ltd.,POWER,10998100830,12651.94,1.42,0.69,0.16,2.91,5.18,0.07
5,ALKEM,Alkem Laboratories Ltd.,PHARMACEUTICALS,239130000,12583.41,1.42,0.25,0.05,1.15,2.76,0.06
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,17878.65,2.01,0.73,0.35,1.76,-2.21,0.03
7,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,25460.20,2.87,0.98,0.24,2.80,-1.74,0.02
8,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6477746910,39504.22,4.45,0.59,0.22,2.42,-4.06,0.05
9,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,16259.65,1.83,0.84,0.27,0.86,5.53,0.05
10,BANDHANBNK,Bandhan Bank Ltd.,BANKS,16103718760,20929.84,2.36,1.55,0.34,2.73,-23.07,0.03
11,BANKBARODA,Bank of Baroda,BANKS,9241133172,8175.17,0.92,1.00,0.32,4.19,10.74,0.11
12,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971219780,17162.67,1.93,0.67,0.34,1.81,-6.93,0.03
13,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,16507.92,1.86,0.62,0.23,2.62,-20.11,0.04
14,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,13109.85,1.48,0.98,0.42,2.25,19.88,0.04
15,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,11555.49,1.30,0.46,0.12,1.85,-5.30,0.04
16,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,21367.65,2.41,0.45,0.22,1.20,2.43,0.04
17,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,11885.81,1.34,1.00,0.40,1.99,8.56,0.04
18,DLF,DLF Ltd.,CONSTRUCTION,4950630072,15807.98,1.78,1.27,0.50,2.98,9.71,0.04
19,DABUR,Dabur India Ltd.,PERSONAL CARE,1767420476,29101.64,3.28,0.61,0.38,1.12,-3.64,0.03
20,GICRE,General Insurance Corporation of India,FINANCE,8772000000,3239.68,0.36,0.64,0.17,1.38,-5.18,0.06
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022486273,28171.59,3.17,0.65,0.30,1.69,0.61,0.04
22,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCE,1064658405,15312.72,1.72,0.80,0.40,1.94,-1.42,0.03
23,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,626013006,26161.08,2.95,0.65,0.26,4.03,14.04,0.03
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15141745490,16218.93,1.83,0.85,0.31,1.40,0.32,0.04
25,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,6965.44,0.78,0.59,0.15,4.63,14.93,0.04
26,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCE,4545207640,28700.26,3.23,0.91,0.41,1.84,-13.50,0.04
27,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14359026910,18648.07,2.10,1.26,0.50,1.35,-3.58,0.05
28,IGL,Indraprastha Gas Ltd.,GAS,1400001600,18053.02,2.03,0.77,0.33,2.32,2.68,0.04
29,INDUSTOWER,Indus Towers Ltd.,TELECOMMUNICATION - EQUIPMENT,26949369500,21835.73,2.46,0.77,0.14,2.36,0.70,0.06
